,dataset_name,cls_encoding,classifier,AUC,#event columns,#case columns,#control columns,#eventcase columns,#controlcase columns,#eventcontrol columns,total cols,pars. event,pars. case,pars. control,pars. eventcase,pars. controlcase,pars. eventcontrol,total pars cols,perc_pars_event,perc_pars_case,perc_pars_control,perc_pars_eventcase,perc_pars_controlcase,perc_pars_eventcontrol,perc_event_total,perc_case_total,perc_control_total,perc_eventcase_total,perc_controlcase_total,perc_eventcontrol_total,perc_pars_total,FC event,FC_case,FC control,monotonicity,"shap (event, case, control)","feature importance (event, case, control)",LOD
0,bpic2011_f1,agg,LR,0.966006483071619,136,730,175,/,/,/,1041,10.0,101.0,18.0,/,/,/,129.0,7.352941176470588,13.835616438356162,10.285714285714286,/,/,/,7.751937984496124,78.29457364341084,13.953488372093023,/,/,/,12.39193083573487,0.5094243504839532,0.0,0.0,1.0,/,/,0.0
1,bpic2011_f1,index,LR,0.9442829873051636,2248,730,2368,/,/,/,5346,91.0,129.0,52.0,/,/,/,272.0,4.048042704626335,17.671232876712327,2.195945945945946,/,/,/,33.455882352941174,47.4264705882353,19.11764705882353,/,/,/,5.08791619902731,44.5406690439803,19.27322125997623,17.660044150110377,1.0,/,/,0.0
2,bpic2011_f1,agg,LLM,0.9638261160330224,136,730,175,/,/,/,1041,38.0,205.75,51.75,/,/,/,295.5,27.94117647058824,28.184931506849317,29.571428571428573,/,/,/,12.859560067681896,69.62774957698815,17.512690355329948,/,/,/,28.386167146974064,0.5773475972151468,0.4584819154355578,99.54151808456444,1.0,/,/,0.0
3,bpic2011_f1,index,LLM,0.9479225556074464,2248,730,2368,/,/,/,5346,771.3333333333333,279.6666666666667,812.0,/,/,/,1863.0,34.311832740213525,38.31050228310502,34.29054054054054,/,/,/,41.40275541241724,15.011629987475398,43.58561460010736,/,/,/,34.84848484848485,23.161827135337067,26.20139242655799,75.93818984547461,1.0,/,/,0.0
4,bpic2011_f1,agg,GLRM,0.9204783137799242,136,730,175,1,2,1,1045,0.0,1.0,2.0,1,2,1,7.0,0.0,0.136986301369863,1.1428571428571428,100.0,100.0,100.0,0.0,14.285714285714286,28.571428571428573,14.285714285714286,28.571428571428573,14.285714285714286,0.6698564593301436,40.53319748683988,14.34878587196468,64.54406520631686,1.0,/,/,0.0
5,bpic2011_f1,index,GLRM,0.811562397535329,2248,730,2368,0,2,1,5349,0.0,1.0,1.0,0,2,1,5.0,0.0,0.136986301369863,0.0422297297297297,0,100.0,100.0,0.0,20.0,20.0,0.0,40.0,20.0,0.093475415965601,0.0,11.784683307862116,75.95517065715741,1.0,/,/,0.0
6,bpic2011_f1,agg,XGB,0.9557036096781838,136,730,175,/,/,/,1041,80.0,67.0,68.0,/,/,/,215.0,58.8235294117647,9.178082191780822,38.85714285714285,/,/,/,37.2093023255814,31.162790697674417,31.627906976744185,/,/,/,20.65321805955812,34.589913397860414,17.201562234674817,50.07641365257259,0.7700511971958268,"[4, 3, 3]","[1, 7, 2]",5.0990195135927845
7,bpic2011_f1,index,XGB,0.9231115543742764,2248,730,2368,/,/,/,5346,22.0,11.999999999999998,4.0,/,/,/,38.0,0.9786476868327402,1.643835616438356,0.1689189189189189,/,/,/,57.89473684210526,31.578947368421048,10.526315789473683,/,/,/,0.710811821922933,29.12209203599932,45.55951774494821,47.563253523518426,0.6832566622118489,"[3, 6, 1]","[1, 6, 3]",2.8284271247461903
8,bpic2011_f1,agg,RF,0.9309371885479804,136,730,175,/,/,/,1041,126.0,730.0,175.0,/,/,/,1031.0,92.6470588235294,100.0,100.0,/,/,/,12.221144519883609,70.80504364694471,16.973811833171677,/,/,/,99.03938520653216,40.29546612328069,26.60893190694516,53.370691119035484,0.1436567055085166,"[2, 4, 4]","[0, 8, 2]",4.898979485566356
9,bpic2011_f1,index,RF,0.8941983720668147,2248,730,2368,/,/,/,5346,1839.0,730.0,1779.0,/,/,/,4348.0,81.80604982206405,100.0,75.1266891891892,/,/,/,42.2953081876725,16.789328426862927,40.91536338546458,/,/,/,81.33183688739244,26.422142978434373,39.446425539140776,34.52199015112922,0.1008665414801692,"[5, 4, 1]","[2, 6, 2]",3.7416573867739413
