Responsible_actor;SUMleges;Case ID;label;Aanleg (Uitvoeren werk of werkzaamheid);Bouw;Brandveilig gebruik (vergunning);Gebiedsbescherming;Handelen in strijd met regels RO;Inrit/Uitweg;Kap;Milieu (neutraal wijziging);Milieu (omgevingsvergunning beperkte milieutoets);Milieu (vergunning);Monument;Reclame;Sloop;Activity;monitoringResource;question;org:resource;time:timestamp;timesincemidnight;month;weekday;hour;timesincelastevent;timesincecasestart;event_nr;open_cases
560852;1438.3435;4284682;deviant;0;1;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_190_2;560852;EMPTY;560852;2009-11-17 23:00:00;1380;11;1;23;0.0;0.0;1;1
560849;126.45;4193601;regular;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_010;560849;other;560752;2010-10-12 22:00:00;1320;10;1;22;0.0;0.0;1;2
560849;126.45;4193601;regular;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_015;560849;EMPTY;560752;2010-10-14 12:24:12;744;10;3;12;2304.2;2304.2;2;2
560849;126.45;4193601;regular;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_020;560849;True;560752;2010-10-14 12:24:17;744;10;3;12;0.08333333333333333;2304.2833333333333;3;2
560849;126.45;4193601;regular;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_040;560849;False;560752;2010-10-14 12:24:21;744;10;3;12;0.06666666666666667;2304.35;4;2
560849;126.45;4193601;regular;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_050;560849;True;560752;2010-10-14 12:24:25;744;10;3;12;0.06666666666666667;2304.4166666666665;5;2
560849;126.45;4193601;regular;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_055;560849;False;560752;2010-10-14 12:24:29;744;10;3;12;0.06666666666666667;2304.483333333333;6;2
560849;126.45;4193601;regular;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_060;560849;True;560752;2010-10-14 12:24:37;744;10;3;12;0.13333333333333333;2304.616666666667;7;2
560849;126.45;4193601;regular;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_065_1;560849;EMPTY;560752;2010-10-14 12:24:40;744;10;3;12;0.05;2304.6666666666665;8;2
560849;126.45;4193601;regular;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_065_2;560849;EMPTY;560752;2010-10-14 22:00:00;1320;10;3;22;575.3333333333334;2880.0;9;2
560852;0.0;4241127;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_010;560781;other;560781;2010-10-17 22:00:00;1320;10;6;22;0.0;0.0;1;3
560849;126.45;4193601;regular;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_100;560849;EMPTY;560752;2010-10-18 09:00:35;540;10;0;9;4980.583333333333;7860.583333333333;10;3
560812;0.0;4248179;regular;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_010;560812;EMPTY;560752;2010-10-18 22:00:00;1320;10;0;22;0.0;0.0;1;4
560852;0.0;4241127;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_030_2;560781;EMPTY;560781;2010-10-19 22:00:00;1320;10;1;22;0.0;2880.0;2;4
560852;0.0;4241127;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_065_2;560852;EMPTY;560781;2010-10-19 22:00:00;1320;10;1;22;2880.0;2880.0;3;4
560852;0.0;4241127;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_015;560852;EMPTY;560781;2010-10-20 09:31:43;571;10;2;9;691.7166666666667;3571.7166666666667;4;4
560852;0.0;4241127;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_020;560781;False;560781;2010-10-20 09:31:51;571;10;2;9;0.13333333333333333;3571.85;5;4
560852;0.0;4241127;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_030_1;560781;EMPTY;560781;2010-10-20 09:34:42;574;10;2;9;2.85;3574.7;6;4
560852;0.0;4241127;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_040;560781;False;560781;2010-10-20 09:37:45;577;10;2;9;3.05;3577.75;7;4
560852;0.0;4241127;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_050;560781;True;560781;2010-10-20 09:37:52;577;10;2;9;0.11666666666666667;3577.866666666667;8;4
560852;0.0;4241127;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_055;560781;False;560781;2010-10-20 09:37:58;577;10;2;9;0.1;3577.9666666666667;9;4
560852;0.0;4241127;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_060;560781;True;560781;2010-10-20 09:38:21;578;10;2;9;0.38333333333333336;3578.35;10;4
560852;0.0;4241127;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_065_1;560781;EMPTY;560781;2010-10-20 09:47:20;587;10;2;9;8.983333333333333;3587.3333333333335;11;4
560852;0.0;4241127;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_100;560852;EMPTY;560781;2010-10-20 10:00:26;600;10;2;10;13.1;3600.4333333333334;12;4
560812;0.0;4248179;regular;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_030_2;560812;EMPTY;560752;2010-10-20 22:00:00;1320;10;2;22;0.0;2880.0;2;5
560812;0.0;4248179;regular;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_065_2;560812;EMPTY;560752;2010-10-20 22:00:00;1320;10;2;22;2880.0;2880.0;3;5
1550894;4900.359;4258780;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_010;560752;other;560752;2010-10-20 22:00:00;1320;10;2;22;0.0;0.0;1;5
1550894;4900.359;4258780;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_015;1550894;EMPTY;560752;2010-10-22 09:58:44;598;10;4;9;2158.733333333333;2158.733333333333;2;5
1550894;4900.359;4258780;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_020;4051819;True;560752;2010-10-22 09:58:47;598;10;4;9;0.05;2158.7833333333333;3;5
1550894;4900.359;4258780;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_040;4051819;False;560752;2010-10-22 09:58:52;598;10;4;9;0.08333333333333333;2158.866666666667;4;5
1550894;4900.359;4258780;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_050;4051819;True;560752;2010-10-22 09:58:56;598;10;4;9;0.06666666666666667;2158.9333333333334;5;5
1550894;4900.359;4258780;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_055;4051819;False;560752;2010-10-22 09:59:00;599;10;4;9;0.06666666666666667;2159.0;6;5
560812;0.0;4271177;regular;0;0;0;0;0;0;1;0;0;0;0;0;0;01_HOOFD_010;560752;EMPTY;560752;2010-10-23 22:00:00;1320;10;5;22;0.0;0.0;1;6
560852;0.0;4241127;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;05_EIND_020;560852;other;560752;2010-10-24 22:00:00;1320;10;6;22;0.0;10080.0;13;7
560852;0.0;4241127;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;05_EIND_030_2;560852;EMPTY;560752;2010-10-24 22:00:00;1320;10;6;22;0.0;10080.0;14;7
560852;0.0;4241127;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;05_EIND_050;560852;EMPTY;560752;2010-10-24 22:00:00;1320;10;6;22;6479.566666666667;10080.0;15;7
1550894;2896.9695;4280743;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_010;1550894;EMPTY;560752;2010-10-24 22:00:00;1320;10;6;22;0.0;0.0;1;7
560812;0.0;4271177;regular;0;0;0;0;0;0;1;0;0;0;0;0;0;01_HOOFD_015;560812;EMPTY;560752;2010-10-25 09:53:11;593;10;0;9;2153.1833333333334;2153.1833333333334;2;7
560812;0.0;4271177;regular;0;0;0;0;0;0;1;0;0;0;0;0;0;01_HOOFD_020;560812;True;560752;2010-10-25 09:53:15;593;10;0;9;0.06666666666666667;2153.25;3;7
560812;0.0;4271177;regular;0;0;0;0;0;0;1;0;0;0;0;0;0;01_HOOFD_040;560812;False;560752;2010-10-25 09:53:19;593;10;0;9;0.06666666666666667;2153.3166666666666;4;7
560812;0.0;4271177;regular;0;0;0;0;0;0;1;0;0;0;0;0;0;01_HOOFD_060;560812;True;560752;2010-10-25 09:53:23;593;10;0;9;0.06666666666666667;2153.383333333333;5;7
560812;0.0;4271177;regular;0;0;0;0;0;0;1;0;0;0;0;0;0;01_HOOFD_065_1;560812;EMPTY;560752;2010-10-25 09:54:21;594;10;0;9;0.9666666666666667;2154.35;6;7
560812;0.0;4271177;regular;0;0;0;0;0;0;1;0;0;0;0;0;0;01_HOOFD_065_2;560812;EMPTY;560752;2010-10-25 22:00:00;1320;10;0;22;725.65;2880.0;7;8
560849;126.45;4282897;regular;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_010;560752;EMPTY;560752;2010-10-25 22:00:00;1320;10;0;22;0.0;0.0;1;8
560812;0.0;4271177;regular;0;0;0;0;0;0;1;0;0;0;0;0;0;01_HOOFD_100;560812;EMPTY;560752;2010-10-26 06:43:06;403;10;1;6;523.1;3403.1;8;8
1550894;4900.359;4258780;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_065_2;4051819;EMPTY;560752;2010-10-26 22:00:00;1320;10;1;22;6481.0;8640.0;7;8
560852;1438.3435;4284682;deviant;0;1;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_010;560852;EMPTY;560781;2010-10-26 22:00:00;1320;10;1;22;493860.0;493860.0;2;8
1550894;4900.359;4258780;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_060;4051819;True;560752;2010-10-27 09:06:58;546;10;2;9;666.9666666666667;9306.966666666667;8;8
1550894;4900.359;4258780;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_065_1;4051819;EMPTY;560752;2010-10-27 09:16:58;556;10;2;9;10.0;9316.966666666667;9;8
1550894;4900.359;4258780;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_100;4051819;EMPTY;560752;2010-10-27 09:23:04;563;10;2;9;6.1;9323.066666666668;10;8
560849;126.45;4193601;regular;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_100;560849;EMPTY;560752;2010-10-27 22:00:00;1320;10;2;22;13739.416666666666;21600.0;11;9
560852;0.0;4241127;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_100;560852;EMPTY;560781;2010-10-27 22:00:00;1320;10;2;22;4320.0;14400.0;16;9
560812;0.0;4248179;regular;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_100;560812;EMPTY;560752;2010-10-27 22:00:00;1320;10;2;22;10080.0;12960.0;4;9
1550894;2896.9695;4280743;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_190_2;1550894;EMPTY;560752;2010-10-27 22:00:00;1320;10;2;22;0.0;4320.0;2;9
1550894;2896.9695;4280743;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_030_2;1550894;EMPTY;560752;2010-10-27 22:00:00;1320;10;2;22;0.0;4320.0;3;9
1550894;2896.9695;4280743;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_065_2;1550894;EMPTY;560752;2010-10-27 22:00:00;1320;10;2;22;4320.0;4320.0;4;9
560849;126.45;4282897;regular;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_030_2;560849;EMPTY;560752;2010-10-27 22:00:00;1320;10;2;22;0.0;2880.0;2;9
560849;126.45;4282897;regular;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_190_2;560849;EMPTY;560821;2010-10-27 22:00:00;1320;10;2;22;0.0;2880.0;3;9
560849;126.45;4282897;regular;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_065_2;560849;EMPTY;560752;2010-10-27 22:00:00;1320;10;2;22;2880.0;2880.0;4;9
560852;1438.3435;4284682;deviant;0;1;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_030_2;560852;EMPTY;560752;2010-10-27 22:00:00;1320;10;2;22;1440.0;495300.0;3;9
560812;0.0;4289494;regular;0;0;0;0;0;0;1;0;0;0;0;0;0;01_HOOFD_010;560812;EMPTY;560821;2010-10-27 22:00:00;1320;10;2;22;0.0;0.0;1;9
560849;126.45;4282897;regular;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_015;560849;EMPTY;560752;2010-10-28 06:48:40;408;10;3;6;528.6666666666666;3408.6666666666665;5;9
560849;126.45;4282897;regular;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_020;560849;False;560752;2010-10-28 06:48:44;408;10;3;6;0.06666666666666667;3408.733333333333;6;9
