Part_Desc_;Rework;Work_Order_Qty;Case ID;label;Activity;Resource;Report_Type;Resource.1;Qty_Completed;Qty_for_MRB;activity_duration;Complete Timestamp;timesincemidnight;month;weekday;hour;timesincelastevent;timesincecasestart;event_nr;open_cases
Cable Head;missing;250;Case178;regular;Round Grinding - Machine 3;ID4445;D;Machine 3 - Round Grinding;31;0;290.0;2012-01-02 04:50:00;290;1;0;4;0.0;0.0;1;1
Electrical Contact;missing;320;Case238;deviant;Turning & Milling - Machine 4;ID4794;S;Machine 4 - Turning & Milling;0;0;360.0;2012-01-02 07:00:00;420;1;0;7;0.0;0.0;1;2
Cable Head;missing;200;Case187;deviant;Lapping - Machine 1;ID4882;D;Machine 1 - Lapping;0;0;150.0;2012-01-02 09:30:00;570;1;0;9;0.0;0.0;1;3
Cable Head;missing;250;Case178;regular;Round Grinding - Machine 2;ID4355;S;Machine 2 - Round Grinding;0;0;60.0;2012-01-02 11:00:00;660;1;0;11;370.0;370.0;2;4
Compound Dies;missing;18;Case263;regular;Turning & Milling - Machine 8;ID4219;S;Machine 8 - Turning & Milling;0;0;120.0;2012-01-02 11:00:00;660;1;0;11;0.0;0.0;1;4
Spur Gear;missing;225;Case254;regular;Laser Marking - Machine 7;ID0998;D;Machine 7- Laser Marking;225;0;120.0;2012-01-02 12:15:00;735;1;0;12;0.0;0.0;1;5
Punch Holder;missing;350;Case188;deviant;Lapping - Machine 1;ID4882;D;Machine 1 - Lapping;0;0;30.0;2012-01-02 12:50:00;770;1;0;12;0.0;0.0;1;6
Punch Holder;missing;350;Case188;deviant;Laser Marking - Machine 7;ID0998;D;Machine 7- Laser Marking;144;0;105.0;2012-01-02 14:00:00;840;1;0;14;70.0;70.0;2;6
Electrical Contact;missing;320;Case238;deviant;Turning & Milling - Machine 4;ID4529;S;Machine 4 - Turning & Milling;0;0;420.0;2012-01-02 14:00:00;840;1;0;14;420.0;420.0;2;6
Punch Holder;missing;350;Case188;deviant;Lapping - Machine 1;ID4882;D;Machine 1 - Lapping;0;0;160.0;2012-01-02 16:00:00;960;1;0;16;120.0;190.0;3;8
