iter;dataset;cls;method;param;value;score
1;bpic2011_f3;GLRM;all_agg;lambda0;0.0004795627600088829;0.2992084012243633
1;bpic2011_f3;GLRM;all_agg;lambda1;0.0002482800090499129;0.2992084012243633
1;bpic2011_f3;GLRM;all_agg;0
1;bpic2011_f3;GLRM;all_agg;lambda0;0.0004795627600088829;0.6066146202898913
1;bpic2011_f3;GLRM;all_agg;lambda1;0.0002482800090499129;0.6066146202898913
1;bpic2011_f3;GLRM;all_agg;0
1;bpic2011_f3;GLRM;all_agg;lambda0;0.0004795627600088829;0.8923594448486187
1;bpic2011_f3;GLRM;all_agg;lambda1;0.0002482800090499129;0.8923594448486187
1;bpic2011_f3;GLRM;all_agg;0
2;bpic2011_f3;GLRM;all_agg;lambda0;0.005250111530566369;0.2963984129449622
2;bpic2011_f3;GLRM;all_agg;lambda1;0.003253273644201416;0.2963984129449622
2;bpic2011_f3;GLRM;all_agg;0
2;bpic2011_f3;GLRM;all_agg;lambda0;0.005250111530566369;0.5980101051982044
2;bpic2011_f3;GLRM;all_agg;lambda1;0.003253273644201416;0.5980101051982044
2;bpic2011_f3;GLRM;all_agg;0
2;bpic2011_f3;GLRM;all_agg;lambda0;0.005250111530566369;0.9025331713780899
2;bpic2011_f3;GLRM;all_agg;lambda1;0.003253273644201416;0.9025331713780899
2;bpic2011_f3;GLRM;all_agg;0
3;bpic2011_f3;GLRM;all_agg;lambda0;0.008079076448310556;0.2982229454153919
3;bpic2011_f3;GLRM;all_agg;lambda1;0.0001535349199850084;0.2982229454153919
3;bpic2011_f3;GLRM;all_agg;0
3;bpic2011_f3;GLRM;all_agg;lambda0;0.008079076448310556;0.5989090195662071
3;bpic2011_f3;GLRM;all_agg;lambda1;0.0001535349199850084;0.5989090195662071
3;bpic2011_f3;GLRM;all_agg;0
3;bpic2011_f3;GLRM;all_agg;lambda0;0.008079076448310556;0.9017454627970881
3;bpic2011_f3;GLRM;all_agg;lambda1;0.0001535349199850084;0.9017454627970881
3;bpic2011_f3;GLRM;all_agg;0
4;bpic2011_f3;GLRM;all_agg;lambda0;0.002583033832689503;0.2946535969742052
4;bpic2011_f3;GLRM;all_agg;lambda1;0.004320098126647515;0.2946535969742052
4;bpic2011_f3;GLRM;all_agg;0
4;bpic2011_f3;GLRM;all_agg;lambda0;0.002583033832689503;0.5961093730459249
4;bpic2011_f3;GLRM;all_agg;lambda1;0.004320098126647515;0.5961093730459249
4;bpic2011_f3;GLRM;all_agg;0
4;bpic2011_f3;GLRM;all_agg;lambda0;0.002583033832689503;0.8939337230154728
4;bpic2011_f3;GLRM;all_agg;lambda1;0.004320098126647515;0.8939337230154728
4;bpic2011_f3;GLRM;all_agg;0
