iter;dataset;cls;method;param;value;score
1;bpic2011_f3;GLRM;all_index;lambda0;0.009169656723437315;0.2907112603845958
1;bpic2011_f3;GLRM;all_index;lambda1;8.103160573089852e-05;0.2907112603845958
1;bpic2011_f3;GLRM;all_index;0
1;bpic2011_f3;GLRM;all_index;lambda0;0.009169656723437315;0.5869593429305453
1;bpic2011_f3;GLRM;all_index;lambda1;8.103160573089852e-05;0.5869593429305453
1;bpic2011_f3;GLRM;all_index;0
1;bpic2011_f3;GLRM;all_index;lambda0;0.009169656723437315;0.8646334480405061
1;bpic2011_f3;GLRM;all_index;lambda1;8.103160573089852e-05;0.8646334480405061
1;bpic2011_f3;GLRM;all_index;0
2;bpic2011_f3;GLRM;all_index;lambda0;0.0014012087891928466;0.2867418993882437
2;bpic2011_f3;GLRM;all_index;lambda1;0.0057940166838730605;0.2867418993882437
2;bpic2011_f3;GLRM;all_index;0
2;bpic2011_f3;GLRM;all_index;lambda0;0.0014012087891928466;0.5835120291122248
2;bpic2011_f3;GLRM;all_index;lambda1;0.0057940166838730605;0.5835120291122248
2;bpic2011_f3;GLRM;all_index;0
2;bpic2011_f3;GLRM;all_index;lambda0;0.0014012087891928466;0.8642072249716458
2;bpic2011_f3;GLRM;all_index;lambda1;0.0057940166838730605;0.8642072249716458
2;bpic2011_f3;GLRM;all_index;0
3;bpic2011_f3;GLRM;all_index;lambda0;0.001274769251240973;0.2915968688942991
3;bpic2011_f3;GLRM;all_index;lambda1;0.007562734923949009;0.2915968688942991
3;bpic2011_f3;GLRM;all_index;0
3;bpic2011_f3;GLRM;all_index;lambda0;0.001274769251240973;0.5883830340749657
3;bpic2011_f3;GLRM;all_index;lambda1;0.007562734923949009;0.5883830340749657
3;bpic2011_f3;GLRM;all_index;0
3;bpic2011_f3;GLRM;all_index;lambda0;0.001274769251240973;0.8689755106596322
3;bpic2011_f3;GLRM;all_index;lambda1;0.007562734923949009;0.8689755106596322
3;bpic2011_f3;GLRM;all_index;0
4;bpic2011_f3;GLRM;all_index;lambda0;0.0034798635837259627;0.2897900471273385
4;bpic2011_f3;GLRM;all_index;lambda1;0.0032897681963207958;0.2897900471273385
4;bpic2011_f3;GLRM;all_index;0
4;bpic2011_f3;GLRM;all_index;lambda0;0.0034798635837259627;0.5871871345729791
4;bpic2011_f3;GLRM;all_index;lambda1;0.0032897681963207958;0.5871871345729791
4;bpic2011_f3;GLRM;all_index;0
4;bpic2011_f3;GLRM;all_index;lambda0;0.0034798635837259627;0.8657012495925781
4;bpic2011_f3;GLRM;all_index;lambda1;0.0032897681963207958;0.8657012495925781
4;bpic2011_f3;GLRM;all_index;0
