iter;dataset;cls;method;param;value;score
1;bpic2011_f2;XGB;all_agg;colsample_bytree;0.8179870735410893;0.30532602103619416
1;bpic2011_f2;XGB;all_agg;learning_rate;0.3288348348160668;0.30532602103619416
1;bpic2011_f2;XGB;all_agg;max_depth;8;0.30532602103619416
1;bpic2011_f2;XGB;all_agg;min_child_weight;1;0.30532602103619416
1;bpic2011_f2;XGB;all_agg;subsample;0.9745777856393305;0.30532602103619416
1;bpic2011_f2;XGB;all_agg;0
1;bpic2011_f2;XGB;all_agg;colsample_bytree;0.8179870735410893;0.6173535353048765
1;bpic2011_f2;XGB;all_agg;learning_rate;0.3288348348160668;0.6173535353048765
1;bpic2011_f2;XGB;all_agg;max_depth;8;0.6173535353048765
1;bpic2011_f2;XGB;all_agg;min_child_weight;1;0.6173535353048765
1;bpic2011_f2;XGB;all_agg;subsample;0.9745777856393305;0.6173535353048765
1;bpic2011_f2;XGB;all_agg;0
1;bpic2011_f2;XGB;all_agg;colsample_bytree;0.8179870735410893;0.9296484563283477
1;bpic2011_f2;XGB;all_agg;learning_rate;0.3288348348160668;0.9296484563283477
1;bpic2011_f2;XGB;all_agg;max_depth;8;0.9296484563283477
1;bpic2011_f2;XGB;all_agg;min_child_weight;1;0.9296484563283477
1;bpic2011_f2;XGB;all_agg;subsample;0.9745777856393305;0.9296484563283477
1;bpic2011_f2;XGB;all_agg;0
2;bpic2011_f2;XGB;all_agg;colsample_bytree;0.55404684413016;0.3114096403272565
2;bpic2011_f2;XGB;all_agg;learning_rate;0.2689454648351185;0.3114096403272565
2;bpic2011_f2;XGB;all_agg;max_depth;28;0.3114096403272565
2;bpic2011_f2;XGB;all_agg;min_child_weight;4;0.3114096403272565
2;bpic2011_f2;XGB;all_agg;subsample;0.6821323160544785;0.3114096403272565
2;bpic2011_f2;XGB;all_agg;0
2;bpic2011_f2;XGB;all_agg;colsample_bytree;0.55404684413016;0.6228108549557871
2;bpic2011_f2;XGB;all_agg;learning_rate;0.2689454648351185;0.6228108549557871
2;bpic2011_f2;XGB;all_agg;max_depth;28;0.6228108549557871
2;bpic2011_f2;XGB;all_agg;min_child_weight;4;0.6228108549557871
2;bpic2011_f2;XGB;all_agg;subsample;0.6821323160544785;0.6228108549557871
2;bpic2011_f2;XGB;all_agg;0
2;bpic2011_f2;XGB;all_agg;colsample_bytree;0.55404684413016;0.931758398908897
2;bpic2011_f2;XGB;all_agg;learning_rate;0.2689454648351185;0.931758398908897
2;bpic2011_f2;XGB;all_agg;max_depth;28;0.931758398908897
2;bpic2011_f2;XGB;all_agg;min_child_weight;4;0.931758398908897
2;bpic2011_f2;XGB;all_agg;subsample;0.6821323160544785;0.931758398908897
2;bpic2011_f2;XGB;all_agg;0
3;bpic2011_f2;XGB;all_agg;colsample_bytree;0.981287476845671;0.3093861352759887
3;bpic2011_f2;XGB;all_agg;learning_rate;0.7116111359928399;0.3093861352759887
3;bpic2011_f2;XGB;all_agg;max_depth;21;0.3093861352759887
3;bpic2011_f2;XGB;all_agg;min_child_weight;2;0.3093861352759887
3;bpic2011_f2;XGB;all_agg;subsample;0.6148163583598245;0.3093861352759887
3;bpic2011_f2;XGB;all_agg;0
3;bpic2011_f2;XGB;all_agg;colsample_bytree;0.981287476845671;0.617738373768279
3;bpic2011_f2;XGB;all_agg;learning_rate;0.7116111359928399;0.617738373768279
3;bpic2011_f2;XGB;all_agg;max_depth;21;0.617738373768279
3;bpic2011_f2;XGB;all_agg;min_child_weight;2;0.617738373768279
3;bpic2011_f2;XGB;all_agg;subsample;0.6148163583598245;0.617738373768279
3;bpic2011_f2;XGB;all_agg;0
3;bpic2011_f2;XGB;all_agg;colsample_bytree;0.981287476845671;0.9270822324258466
3;bpic2011_f2;XGB;all_agg;learning_rate;0.7116111359928399;0.9270822324258466
3;bpic2011_f2;XGB;all_agg;max_depth;21;0.9270822324258466
3;bpic2011_f2;XGB;all_agg;min_child_weight;2;0.9270822324258466
3;bpic2011_f2;XGB;all_agg;subsample;0.6148163583598245;0.9270822324258466
3;bpic2011_f2;XGB;all_agg;0
4;bpic2011_f2;XGB;all_agg;colsample_bytree;0.6030917501392087;0.31168495290885295
4;bpic2011_f2;XGB;all_agg;learning_rate;0.06243406529531159;0.31168495290885295
4;bpic2011_f2;XGB;all_agg;max_depth;10;0.31168495290885295
4;bpic2011_f2;XGB;all_agg;min_child_weight;5;0.31168495290885295
4;bpic2011_f2;XGB;all_agg;subsample;0.5473186965244072;0.31168495290885295
4;bpic2011_f2;XGB;all_agg;0
4;bpic2011_f2;XGB;all_agg;colsample_bytree;0.6030917501392087;0.6245721090206025
4;bpic2011_f2;XGB;all_agg;learning_rate;0.06243406529531159;0.6245721090206025
4;bpic2011_f2;XGB;all_agg;max_depth;10;0.6245721090206025
4;bpic2011_f2;XGB;all_agg;min_child_weight;5;0.6245721090206025
4;bpic2011_f2;XGB;all_agg;subsample;0.5473186965244072;0.6245721090206025
4;bpic2011_f2;XGB;all_agg;0
4;bpic2011_f2;XGB;all_agg;colsample_bytree;0.6030917501392087;0.9365618421036753
4;bpic2011_f2;XGB;all_agg;learning_rate;0.06243406529531159;0.9365618421036753
4;bpic2011_f2;XGB;all_agg;max_depth;10;0.9365618421036753
4;bpic2011_f2;XGB;all_agg;min_child_weight;5;0.9365618421036753
4;bpic2011_f2;XGB;all_agg;subsample;0.5473186965244072;0.9365618421036753
4;bpic2011_f2;XGB;all_agg;0
