iter;dataset;cls;method;param;value;score
1;bpic2011_f3;XGB;all_index;colsample_bytree;0.8179870735410893;0.28767293970249835
1;bpic2011_f3;XGB;all_index;learning_rate;0.3288348348160668;0.28767293970249835
1;bpic2011_f3;XGB;all_index;max_depth;8;0.28767293970249835
1;bpic2011_f3;XGB;all_index;min_child_weight;1;0.28767293970249835
1;bpic2011_f3;XGB;all_index;subsample;0.9745777856393305;0.28767293970249835
1;bpic2011_f3;XGB;all_index;0
1;bpic2011_f3;XGB;all_index;colsample_bytree;0.8179870735410893;0.5899828901901624
1;bpic2011_f3;XGB;all_index;learning_rate;0.3288348348160668;0.5899828901901624
1;bpic2011_f3;XGB;all_index;max_depth;8;0.5899828901901624
1;bpic2011_f3;XGB;all_index;min_child_weight;1;0.5899828901901624
1;bpic2011_f3;XGB;all_index;subsample;0.9745777856393305;0.5899828901901624
1;bpic2011_f3;XGB;all_index;0
1;bpic2011_f3;XGB;all_index;colsample_bytree;0.8179870735410893;0.8757010197431438
1;bpic2011_f3;XGB;all_index;learning_rate;0.3288348348160668;0.8757010197431438
1;bpic2011_f3;XGB;all_index;max_depth;8;0.8757010197431438
1;bpic2011_f3;XGB;all_index;min_child_weight;1;0.8757010197431438
1;bpic2011_f3;XGB;all_index;subsample;0.9745777856393305;0.8757010197431438
1;bpic2011_f3;XGB;all_index;0
2;bpic2011_f3;XGB;all_index;colsample_bytree;0.55404684413016;0.29322823369210893
2;bpic2011_f3;XGB;all_index;learning_rate;0.2689454648351185;0.29322823369210893
2;bpic2011_f3;XGB;all_index;max_depth;28;0.29322823369210893
2;bpic2011_f3;XGB;all_index;min_child_weight;4;0.29322823369210893
2;bpic2011_f3;XGB;all_index;subsample;0.6821323160544785;0.29322823369210893
2;bpic2011_f3;XGB;all_index;0
2;bpic2011_f3;XGB;all_index;colsample_bytree;0.55404684413016;0.5944963806032361
2;bpic2011_f3;XGB;all_index;learning_rate;0.2689454648351185;0.5944963806032361
2;bpic2011_f3;XGB;all_index;max_depth;28;0.5944963806032361
2;bpic2011_f3;XGB;all_index;min_child_weight;4;0.5944963806032361
2;bpic2011_f3;XGB;all_index;subsample;0.6821323160544785;0.5944963806032361
2;bpic2011_f3;XGB;all_index;0
2;bpic2011_f3;XGB;all_index;colsample_bytree;0.55404684413016;0.8797831174509317
2;bpic2011_f3;XGB;all_index;learning_rate;0.2689454648351185;0.8797831174509317
2;bpic2011_f3;XGB;all_index;max_depth;28;0.8797831174509317
2;bpic2011_f3;XGB;all_index;min_child_weight;4;0.8797831174509317
2;bpic2011_f3;XGB;all_index;subsample;0.6821323160544785;0.8797831174509317
2;bpic2011_f3;XGB;all_index;0
3;bpic2011_f3;XGB;all_index;colsample_bytree;0.981287476845671;0.2821980222387767
3;bpic2011_f3;XGB;all_index;learning_rate;0.7116111359928399;0.2821980222387767
3;bpic2011_f3;XGB;all_index;max_depth;21;0.2821980222387767
3;bpic2011_f3;XGB;all_index;min_child_weight;2;0.2821980222387767
3;bpic2011_f3;XGB;all_index;subsample;0.6148163583598245;0.2821980222387767
3;bpic2011_f3;XGB;all_index;0
3;bpic2011_f3;XGB;all_index;colsample_bytree;0.981287476845671;0.5796140086155109
3;bpic2011_f3;XGB;all_index;learning_rate;0.7116111359928399;0.5796140086155109
3;bpic2011_f3;XGB;all_index;max_depth;21;0.5796140086155109
3;bpic2011_f3;XGB;all_index;min_child_weight;2;0.5796140086155109
3;bpic2011_f3;XGB;all_index;subsample;0.6148163583598245;0.5796140086155109
3;bpic2011_f3;XGB;all_index;0
3;bpic2011_f3;XGB;all_index;colsample_bytree;0.981287476845671;0.8643408212487741
3;bpic2011_f3;XGB;all_index;learning_rate;0.7116111359928399;0.8643408212487741
3;bpic2011_f3;XGB;all_index;max_depth;21;0.8643408212487741
3;bpic2011_f3;XGB;all_index;min_child_weight;2;0.8643408212487741
3;bpic2011_f3;XGB;all_index;subsample;0.6148163583598245;0.8643408212487741
3;bpic2011_f3;XGB;all_index;0
4;bpic2011_f3;XGB;all_index;colsample_bytree;0.6030917501392087;0.29511737539548405
4;bpic2011_f3;XGB;all_index;learning_rate;0.06243406529531159;0.29511737539548405
4;bpic2011_f3;XGB;all_index;max_depth;10;0.29511737539548405
4;bpic2011_f3;XGB;all_index;min_child_weight;5;0.29511737539548405
4;bpic2011_f3;XGB;all_index;subsample;0.5473186965244072;0.29511737539548405
4;bpic2011_f3;XGB;all_index;0
4;bpic2011_f3;XGB;all_index;colsample_bytree;0.6030917501392087;0.6005452915792974
4;bpic2011_f3;XGB;all_index;learning_rate;0.06243406529531159;0.6005452915792974
4;bpic2011_f3;XGB;all_index;max_depth;10;0.6005452915792974
4;bpic2011_f3;XGB;all_index;min_child_weight;5;0.6005452915792974
4;bpic2011_f3;XGB;all_index;subsample;0.5473186965244072;0.6005452915792974
4;bpic2011_f3;XGB;all_index;0
4;bpic2011_f3;XGB;all_index;colsample_bytree;0.6030917501392087;0.8909685218275355
4;bpic2011_f3;XGB;all_index;learning_rate;0.06243406529531159;0.8909685218275355
4;bpic2011_f3;XGB;all_index;max_depth;10;0.8909685218275355
4;bpic2011_f3;XGB;all_index;min_child_weight;5;0.8909685218275355
4;bpic2011_f3;XGB;all_index;subsample;0.5473186965244072;0.8909685218275355
4;bpic2011_f3;XGB;all_index;0
