iter;dataset;cls;method;param;value;score
1;bpic2012_accepted;XGB;all_agg;colsample_bytree;0.8179870735410893;0.2174775425330461
1;bpic2012_accepted;XGB;all_agg;learning_rate;0.3288348348160668;0.2174775425330461
1;bpic2012_accepted;XGB;all_agg;max_depth;8;0.2174775425330461
1;bpic2012_accepted;XGB;all_agg;min_child_weight;1;0.2174775425330461
1;bpic2012_accepted;XGB;all_agg;subsample;0.9745777856393305;0.2174775425330461
1;bpic2012_accepted;XGB;all_agg;0
1;bpic2012_accepted;XGB;all_agg;colsample_bytree;0.8179870735410893;0.4286391172915698
1;bpic2012_accepted;XGB;all_agg;learning_rate;0.3288348348160668;0.4286391172915698
1;bpic2012_accepted;XGB;all_agg;max_depth;8;0.4286391172915698
1;bpic2012_accepted;XGB;all_agg;min_child_weight;1;0.4286391172915698
1;bpic2012_accepted;XGB;all_agg;subsample;0.9745777856393305;0.4286391172915698
1;bpic2012_accepted;XGB;all_agg;0
1;bpic2012_accepted;XGB;all_agg;colsample_bytree;0.8179870735410893;0.6422928365744557
1;bpic2012_accepted;XGB;all_agg;learning_rate;0.3288348348160668;0.6422928365744557
1;bpic2012_accepted;XGB;all_agg;max_depth;8;0.6422928365744557
1;bpic2012_accepted;XGB;all_agg;min_child_weight;1;0.6422928365744557
1;bpic2012_accepted;XGB;all_agg;subsample;0.9745777856393305;0.6422928365744557
1;bpic2012_accepted;XGB;all_agg;0
2;bpic2012_accepted;XGB;all_agg;colsample_bytree;0.55404684413016;0.2167111309773535
2;bpic2012_accepted;XGB;all_agg;learning_rate;0.2689454648351185;0.2167111309773535
2;bpic2012_accepted;XGB;all_agg;max_depth;28;0.2167111309773535
2;bpic2012_accepted;XGB;all_agg;min_child_weight;4;0.2167111309773535
2;bpic2012_accepted;XGB;all_agg;subsample;0.6821323160544785;0.2167111309773535
2;bpic2012_accepted;XGB;all_agg;0
2;bpic2012_accepted;XGB;all_agg;colsample_bytree;0.55404684413016;0.4274295538457566
2;bpic2012_accepted;XGB;all_agg;learning_rate;0.2689454648351185;0.4274295538457566
2;bpic2012_accepted;XGB;all_agg;max_depth;28;0.4274295538457566
2;bpic2012_accepted;XGB;all_agg;min_child_weight;4;0.4274295538457566
2;bpic2012_accepted;XGB;all_agg;subsample;0.6821323160544785;0.4274295538457566
2;bpic2012_accepted;XGB;all_agg;0
2;bpic2012_accepted;XGB;all_agg;colsample_bytree;0.55404684413016;0.6448447676315974
2;bpic2012_accepted;XGB;all_agg;learning_rate;0.2689454648351185;0.6448447676315974
2;bpic2012_accepted;XGB;all_agg;max_depth;28;0.6448447676315974
2;bpic2012_accepted;XGB;all_agg;min_child_weight;4;0.6448447676315974
2;bpic2012_accepted;XGB;all_agg;subsample;0.6821323160544785;0.6448447676315974
2;bpic2012_accepted;XGB;all_agg;0
3;bpic2012_accepted;XGB;all_agg;colsample_bytree;0.981287476845671;0.21504416620595998
3;bpic2012_accepted;XGB;all_agg;learning_rate;0.7116111359928399;0.21504416620595998
3;bpic2012_accepted;XGB;all_agg;max_depth;21;0.21504416620595998
3;bpic2012_accepted;XGB;all_agg;min_child_weight;2;0.21504416620595998
3;bpic2012_accepted;XGB;all_agg;subsample;0.6148163583598245;0.21504416620595998
3;bpic2012_accepted;XGB;all_agg;0
3;bpic2012_accepted;XGB;all_agg;colsample_bytree;0.981287476845671;0.42118412406860967
3;bpic2012_accepted;XGB;all_agg;learning_rate;0.7116111359928399;0.42118412406860967
3;bpic2012_accepted;XGB;all_agg;max_depth;21;0.42118412406860967
3;bpic2012_accepted;XGB;all_agg;min_child_weight;2;0.42118412406860967
3;bpic2012_accepted;XGB;all_agg;subsample;0.6148163583598245;0.42118412406860967
3;bpic2012_accepted;XGB;all_agg;0
3;bpic2012_accepted;XGB;all_agg;colsample_bytree;0.981287476845671;0.633578719593792
3;bpic2012_accepted;XGB;all_agg;learning_rate;0.7116111359928399;0.633578719593792
3;bpic2012_accepted;XGB;all_agg;max_depth;21;0.633578719593792
3;bpic2012_accepted;XGB;all_agg;min_child_weight;2;0.633578719593792
3;bpic2012_accepted;XGB;all_agg;subsample;0.6148163583598245;0.633578719593792
3;bpic2012_accepted;XGB;all_agg;0
4;bpic2012_accepted;XGB;all_agg;colsample_bytree;0.6030917501392087;0.22609676273434495
4;bpic2012_accepted;XGB;all_agg;learning_rate;0.06243406529531159;0.22609676273434495
