iter;dataset;cls;method;param;value;score
1;bpic2012_accepted;XGB;all_index;colsample_bytree;0.8179870735410893;0.18187048271717607
1;bpic2012_accepted;XGB;all_index;learning_rate;0.3288348348160668;0.18187048271717607
1;bpic2012_accepted;XGB;all_index;max_depth;8;0.18187048271717607
1;bpic2012_accepted;XGB;all_index;min_child_weight;1;0.18187048271717607
1;bpic2012_accepted;XGB;all_index;subsample;0.9745777856393305;0.18187048271717607
1;bpic2012_accepted;XGB;all_index;0
1;bpic2012_accepted;XGB;all_index;colsample_bytree;0.8179870735410893;0.36856994148307254
1;bpic2012_accepted;XGB;all_index;learning_rate;0.3288348348160668;0.36856994148307254
1;bpic2012_accepted;XGB;all_index;max_depth;8;0.36856994148307254
1;bpic2012_accepted;XGB;all_index;min_child_weight;1;0.36856994148307254
1;bpic2012_accepted;XGB;all_index;subsample;0.9745777856393305;0.36856994148307254
1;bpic2012_accepted;XGB;all_index;0
1;bpic2012_accepted;XGB;all_index;colsample_bytree;0.8179870735410893;0.5509023633537579
1;bpic2012_accepted;XGB;all_index;learning_rate;0.3288348348160668;0.5509023633537579
1;bpic2012_accepted;XGB;all_index;max_depth;8;0.5509023633537579
1;bpic2012_accepted;XGB;all_index;min_child_weight;1;0.5509023633537579
1;bpic2012_accepted;XGB;all_index;subsample;0.9745777856393305;0.5509023633537579
1;bpic2012_accepted;XGB;all_index;0
2;bpic2012_accepted;XGB;all_index;colsample_bytree;0.55404684413016;0.18628751487517833
2;bpic2012_accepted;XGB;all_index;learning_rate;0.2689454648351185;0.18628751487517833
2;bpic2012_accepted;XGB;all_index;max_depth;28;0.18628751487517833
2;bpic2012_accepted;XGB;all_index;min_child_weight;4;0.18628751487517833
2;bpic2012_accepted;XGB;all_index;subsample;0.6821323160544785;0.18628751487517833
2;bpic2012_accepted;XGB;all_index;0
2;bpic2012_accepted;XGB;all_index;colsample_bytree;0.55404684413016;0.36545973812017934
2;bpic2012_accepted;XGB;all_index;learning_rate;0.2689454648351185;0.36545973812017934
2;bpic2012_accepted;XGB;all_index;max_depth;28;0.36545973812017934
2;bpic2012_accepted;XGB;all_index;min_child_weight;4;0.36545973812017934
2;bpic2012_accepted;XGB;all_index;subsample;0.6821323160544785;0.36545973812017934
2;bpic2012_accepted;XGB;all_index;0
2;bpic2012_accepted;XGB;all_index;colsample_bytree;0.55404684413016;0.5457868772072697
2;bpic2012_accepted;XGB;all_index;learning_rate;0.2689454648351185;0.5457868772072697
2;bpic2012_accepted;XGB;all_index;max_depth;28;0.5457868772072697
2;bpic2012_accepted;XGB;all_index;min_child_weight;4;0.5457868772072697
2;bpic2012_accepted;XGB;all_index;subsample;0.6821323160544785;0.5457868772072697
2;bpic2012_accepted;XGB;all_index;0
3;bpic2012_accepted;XGB;all_index;colsample_bytree;0.981287476845671;0.1776230867086979
3;bpic2012_accepted;XGB;all_index;learning_rate;0.7116111359928399;0.1776230867086979
3;bpic2012_accepted;XGB;all_index;max_depth;21;0.1776230867086979
3;bpic2012_accepted;XGB;all_index;min_child_weight;2;0.1776230867086979
3;bpic2012_accepted;XGB;all_index;subsample;0.6148163583598245;0.1776230867086979
3;bpic2012_accepted;XGB;all_index;0
3;bpic2012_accepted;XGB;all_index;colsample_bytree;0.981287476845671;0.34997408668880897
3;bpic2012_accepted;XGB;all_index;learning_rate;0.7116111359928399;0.34997408668880897
3;bpic2012_accepted;XGB;all_index;max_depth;21;0.34997408668880897
3;bpic2012_accepted;XGB;all_index;min_child_weight;2;0.34997408668880897
3;bpic2012_accepted;XGB;all_index;subsample;0.6148163583598245;0.34997408668880897
3;bpic2012_accepted;XGB;all_index;0
3;bpic2012_accepted;XGB;all_index;colsample_bytree;0.981287476845671;0.5320933654326366
3;bpic2012_accepted;XGB;all_index;learning_rate;0.7116111359928399;0.5320933654326366
3;bpic2012_accepted;XGB;all_index;max_depth;21;0.5320933654326366
3;bpic2012_accepted;XGB;all_index;min_child_weight;2;0.5320933654326366
3;bpic2012_accepted;XGB;all_index;subsample;0.6148163583598245;0.5320933654326366
3;bpic2012_accepted;XGB;all_index;0
4;bpic2012_accepted;XGB;all_index;colsample_bytree;0.6030917501392087;0.19850785714688532
4;bpic2012_accepted;XGB;all_index;learning_rate;0.06243406529531159;0.19850785714688532
4;bpic2012_accepted;XGB;all_index;max_depth;10;0.19850785714688532
4;bpic2012_accepted;XGB;all_index;min_child_weight;5;0.19850785714688532
4;bpic2012_accepted;XGB;all_index;subsample;0.5473186965244072;0.19850785714688532
4;bpic2012_accepted;XGB;all_index;0
4;bpic2012_accepted;XGB;all_index;colsample_bytree;0.6030917501392087;0.3955934851452065
4;bpic2012_accepted;XGB;all_index;learning_rate;0.06243406529531159;0.3955934851452065
4;bpic2012_accepted;XGB;all_index;max_depth;10;0.3955934851452065
4;bpic2012_accepted;XGB;all_index;min_child_weight;5;0.3955934851452065
4;bpic2012_accepted;XGB;all_index;subsample;0.5473186965244072;0.3955934851452065
4;bpic2012_accepted;XGB;all_index;0
4;bpic2012_accepted;XGB;all_index;colsample_bytree;0.6030917501392087;0.5958877889374006
4;bpic2012_accepted;XGB;all_index;learning_rate;0.06243406529531159;0.5958877889374006
4;bpic2012_accepted;XGB;all_index;max_depth;10;0.5958877889374006
4;bpic2012_accepted;XGB;all_index;min_child_weight;5;0.5958877889374006
4;bpic2012_accepted;XGB;all_index;subsample;0.5473186965244072;0.5958877889374006
4;bpic2012_accepted;XGB;all_index;0
