iter;dataset;cls;method;param;value;score
1;bpic2015_4_f2;XGB;all_index;colsample_bytree;0.8179870735410893;0.271541996720101
1;bpic2015_4_f2;XGB;all_index;learning_rate;0.3288348348160668;0.271541996720101
1;bpic2015_4_f2;XGB;all_index;max_depth;8;0.271541996720101
1;bpic2015_4_f2;XGB;all_index;min_child_weight;1;0.271541996720101
1;bpic2015_4_f2;XGB;all_index;subsample;0.9745777856393305;0.271541996720101
1;bpic2015_4_f2;XGB;all_index;0
1;bpic2015_4_f2;XGB;all_index;colsample_bytree;0.8179870735410893;0.5252771667336388
1;bpic2015_4_f2;XGB;all_index;learning_rate;0.3288348348160668;0.5252771667336388
1;bpic2015_4_f2;XGB;all_index;max_depth;8;0.5252771667336388
1;bpic2015_4_f2;XGB;all_index;min_child_weight;1;0.5252771667336388
1;bpic2015_4_f2;XGB;all_index;subsample;0.9745777856393305;0.5252771667336388
1;bpic2015_4_f2;XGB;all_index;0
1;bpic2015_4_f2;XGB;all_index;colsample_bytree;0.8179870735410893;0.7666734144029038
1;bpic2015_4_f2;XGB;all_index;learning_rate;0.3288348348160668;0.7666734144029038
1;bpic2015_4_f2;XGB;all_index;max_depth;8;0.7666734144029038
1;bpic2015_4_f2;XGB;all_index;min_child_weight;1;0.7666734144029038
1;bpic2015_4_f2;XGB;all_index;subsample;0.9745777856393305;0.7666734144029038
1;bpic2015_4_f2;XGB;all_index;0
2;bpic2015_4_f2;XGB;all_index;colsample_bytree;0.55404684413016;0.28131191377859427
2;bpic2015_4_f2;XGB;all_index;learning_rate;0.2689454648351185;0.28131191377859427
2;bpic2015_4_f2;XGB;all_index;max_depth;28;0.28131191377859427
2;bpic2015_4_f2;XGB;all_index;min_child_weight;4;0.28131191377859427
2;bpic2015_4_f2;XGB;all_index;subsample;0.6821323160544785;0.28131191377859427
2;bpic2015_4_f2;XGB;all_index;0
2;bpic2015_4_f2;XGB;all_index;colsample_bytree;0.55404684413016;0.5358195902011471
2;bpic2015_4_f2;XGB;all_index;learning_rate;0.2689454648351185;0.5358195902011471
2;bpic2015_4_f2;XGB;all_index;max_depth;28;0.5358195902011471
2;bpic2015_4_f2;XGB;all_index;min_child_weight;4;0.5358195902011471
2;bpic2015_4_f2;XGB;all_index;subsample;0.6821323160544785;0.5358195902011471
2;bpic2015_4_f2;XGB;all_index;0
2;bpic2015_4_f2;XGB;all_index;colsample_bytree;0.55404684413016;0.7947611372962831
2;bpic2015_4_f2;XGB;all_index;learning_rate;0.2689454648351185;0.7947611372962831
2;bpic2015_4_f2;XGB;all_index;max_depth;28;0.7947611372962831
2;bpic2015_4_f2;XGB;all_index;min_child_weight;4;0.7947611372962831
2;bpic2015_4_f2;XGB;all_index;subsample;0.6821323160544785;0.7947611372962831
2;bpic2015_4_f2;XGB;all_index;0
3;bpic2015_4_f2;XGB;all_index;colsample_bytree;0.981287476845671;0.25173645920941623
3;bpic2015_4_f2;XGB;all_index;learning_rate;0.7116111359928399;0.25173645920941623
3;bpic2015_4_f2;XGB;all_index;max_depth;21;0.25173645920941623
3;bpic2015_4_f2;XGB;all_index;min_child_weight;2;0.25173645920941623
3;bpic2015_4_f2;XGB;all_index;subsample;0.6148163583598245;0.25173645920941623
3;bpic2015_4_f2;XGB;all_index;0
3;bpic2015_4_f2;XGB;all_index;colsample_bytree;0.981287476845671;0.5021537763240548
3;bpic2015_4_f2;XGB;all_index;learning_rate;0.7116111359928399;0.5021537763240548
3;bpic2015_4_f2;XGB;all_index;max_depth;21;0.5021537763240548
3;bpic2015_4_f2;XGB;all_index;min_child_weight;2;0.5021537763240548
