iter;dataset;cls;method;param;value;score
1;hospital_billing_2;XGB;all_agg;colsample_bytree;0.8179870735410893;0.30101872650131656
1;hospital_billing_2;XGB;all_agg;learning_rate;0.3288348348160668;0.30101872650131656
1;hospital_billing_2;XGB;all_agg;max_depth;8;0.30101872650131656
1;hospital_billing_2;XGB;all_agg;min_child_weight;1;0.30101872650131656
1;hospital_billing_2;XGB;all_agg;subsample;0.9745777856393305;0.30101872650131656
1;hospital_billing_2;XGB;all_agg;0
1;hospital_billing_2;XGB;all_agg;colsample_bytree;0.8179870735410893;0.6031024620779951
1;hospital_billing_2;XGB;all_agg;learning_rate;0.3288348348160668;0.6031024620779951
1;hospital_billing_2;XGB;all_agg;max_depth;8;0.6031024620779951
1;hospital_billing_2;XGB;all_agg;min_child_weight;1;0.6031024620779951
1;hospital_billing_2;XGB;all_agg;subsample;0.9745777856393305;0.6031024620779951
1;hospital_billing_2;XGB;all_agg;0
1;hospital_billing_2;XGB;all_agg;colsample_bytree;0.8179870735410893;0.904088434466407
1;hospital_billing_2;XGB;all_agg;learning_rate;0.3288348348160668;0.904088434466407
1;hospital_billing_2;XGB;all_agg;max_depth;8;0.904088434466407
1;hospital_billing_2;XGB;all_agg;min_child_weight;1;0.904088434466407
1;hospital_billing_2;XGB;all_agg;subsample;0.9745777856393305;0.904088434466407
1;hospital_billing_2;XGB;all_agg;0
