iter;dataset;cls;method;param;value;score
1;production;XGB;all_agg;colsample_bytree;0.8179870735410893;0.22344890066899525
1;production;XGB;all_agg;learning_rate;0.3288348348160668;0.22344890066899525
1;production;XGB;all_agg;max_depth;8;0.22344890066899525
1;production;XGB;all_agg;min_child_weight;1;0.22344890066899525
1;production;XGB;all_agg;subsample;0.9745777856393305;0.22344890066899525
1;production;XGB;all_agg;0
1;production;XGB;all_agg;colsample_bytree;0.8179870735410893;0.4819527537674429
1;production;XGB;all_agg;learning_rate;0.3288348348160668;0.4819527537674429
1;production;XGB;all_agg;max_depth;8;0.4819527537674429
1;production;XGB;all_agg;min_child_weight;1;0.4819527537674429
1;production;XGB;all_agg;subsample;0.9745777856393305;0.4819527537674429
1;production;XGB;all_agg;0
1;production;XGB;all_agg;colsample_bytree;0.8179870735410893;0.7058716518899422
1;production;XGB;all_agg;learning_rate;0.3288348348160668;0.7058716518899422
1;production;XGB;all_agg;max_depth;8;0.7058716518899422
1;production;XGB;all_agg;min_child_weight;1;0.7058716518899422
1;production;XGB;all_agg;subsample;0.9745777856393305;0.7058716518899422
1;production;XGB;all_agg;0
2;production;XGB;all_agg;colsample_bytree;0.55404684413016;0.21462130826566636
2;production;XGB;all_agg;learning_rate;0.2689454648351185;0.21462130826566636
2;production;XGB;all_agg;max_depth;28;0.21462130826566636
2;production;XGB;all_agg;min_child_weight;4;0.21462130826566636
2;production;XGB;all_agg;subsample;0.6821323160544785;0.21462130826566636
2;production;XGB;all_agg;0
2;production;XGB;all_agg;colsample_bytree;0.55404684413016;0.4793324918957689
2;production;XGB;all_agg;learning_rate;0.2689454648351185;0.4793324918957689
2;production;XGB;all_agg;max_depth;28;0.4793324918957689
2;production;XGB;all_agg;min_child_weight;4;0.4793324918957689
2;production;XGB;all_agg;subsample;0.6821323160544785;0.4793324918957689
2;production;XGB;all_agg;0
2;production;XGB;all_agg;colsample_bytree;0.55404684413016;0.7033860468357505
2;production;XGB;all_agg;learning_rate;0.2689454648351185;0.7033860468357505
2;production;XGB;all_agg;max_depth;28;0.7033860468357505
2;production;XGB;all_agg;min_child_weight;4;0.7033860468357505
2;production;XGB;all_agg;subsample;0.6821323160544785;0.7033860468357505
2;production;XGB;all_agg;0
3;production;XGB;all_agg;colsample_bytree;0.981287476845671;0.2178857953630806
3;production;XGB;all_agg;learning_rate;0.7116111359928399;0.2178857953630806
3;production;XGB;all_agg;max_depth;21;0.2178857953630806
3;production;XGB;all_agg;min_child_weight;2;0.2178857953630806
3;production;XGB;all_agg;subsample;0.6148163583598245;0.2178857953630806
3;production;XGB;all_agg;0
3;production;XGB;all_agg;colsample_bytree;0.981287476845671;0.4592570367343219
3;production;XGB;all_agg;learning_rate;0.7116111359928399;0.4592570367343219
3;production;XGB;all_agg;max_depth;21;0.4592570367343219
3;production;XGB;all_agg;min_child_weight;2;0.4592570367343219
3;production;XGB;all_agg;subsample;0.6148163583598245;0.4592570367343219
3;production;XGB;all_agg;0
3;production;XGB;all_agg;colsample_bytree;0.981287476845671;0.6843301361495265
3;production;XGB;all_agg;learning_rate;0.7116111359928399;0.6843301361495265
3;production;XGB;all_agg;max_depth;21;0.6843301361495265
3;production;XGB;all_agg;min_child_weight;2;0.6843301361495265
3;production;XGB;all_agg;subsample;0.6148163583598245;0.6843301361495265
3;production;XGB;all_agg;0
4;production;XGB;all_agg;colsample_bytree;0.6030917501392087;0.225403100514007
4;production;XGB;all_agg;learning_rate;0.06243406529531159;0.225403100514007
4;production;XGB;all_agg;max_depth;10;0.225403100514007
4;production;XGB;all_agg;min_child_weight;5;0.225403100514007
4;production;XGB;all_agg;subsample;0.5473186965244072;0.225403100514007
4;production;XGB;all_agg;0
4;production;XGB;all_agg;colsample_bytree;0.6030917501392087;0.49179023176600317
4;production;XGB;all_agg;learning_rate;0.06243406529531159;0.49179023176600317
4;production;XGB;all_agg;max_depth;10;0.49179023176600317
4;production;XGB;all_agg;min_child_weight;5;0.49179023176600317
4;production;XGB;all_agg;subsample;0.5473186965244072;0.49179023176600317
4;production;XGB;all_agg;0
4;production;XGB;all_agg;colsample_bytree;0.6030917501392087;0.7254082680848706
4;production;XGB;all_agg;learning_rate;0.06243406529531159;0.7254082680848706
4;production;XGB;all_agg;max_depth;10;0.7254082680848706
4;production;XGB;all_agg;min_child_weight;5;0.7254082680848706
4;production;XGB;all_agg;subsample;0.5473186965244072;0.7254082680848706
4;production;XGB;all_agg;0
