iter;dataset;cls;method;param;value;score
1;production;XGB;all_index;colsample_bytree;0.8179870735410893;0.22336279607812304
1;production;XGB;all_index;learning_rate;0.3288348348160668;0.22336279607812304
1;production;XGB;all_index;max_depth;8;0.22336279607812304
1;production;XGB;all_index;min_child_weight;1;0.22336279607812304
1;production;XGB;all_index;subsample;0.9745777856393305;0.22336279607812304
1;production;XGB;all_index;0
1;production;XGB;all_index;colsample_bytree;0.8179870735410893;0.46064219551968466
1;production;XGB;all_index;learning_rate;0.3288348348160668;0.46064219551968466
1;production;XGB;all_index;max_depth;8;0.46064219551968466
1;production;XGB;all_index;min_child_weight;1;0.46064219551968466
1;production;XGB;all_index;subsample;0.9745777856393305;0.46064219551968466
1;production;XGB;all_index;0
1;production;XGB;all_index;colsample_bytree;0.8179870735410893;0.6284284374402755
1;production;XGB;all_index;learning_rate;0.3288348348160668;0.6284284374402755
1;production;XGB;all_index;max_depth;8;0.6284284374402755
1;production;XGB;all_index;min_child_weight;1;0.6284284374402755
1;production;XGB;all_index;subsample;0.9745777856393305;0.6284284374402755
1;production;XGB;all_index;0
2;production;XGB;all_index;colsample_bytree;0.55404684413016;0.19124578368280568
2;production;XGB;all_index;learning_rate;0.2689454648351185;0.19124578368280568
2;production;XGB;all_index;max_depth;28;0.19124578368280568
2;production;XGB;all_index;min_child_weight;4;0.19124578368280568
2;production;XGB;all_index;subsample;0.6821323160544785;0.19124578368280568
2;production;XGB;all_index;0
2;production;XGB;all_index;colsample_bytree;0.55404684413016;0.42893626461652984
2;production;XGB;all_index;learning_rate;0.2689454648351185;0.42893626461652984
2;production;XGB;all_index;max_depth;28;0.42893626461652984
2;production;XGB;all_index;min_child_weight;4;0.42893626461652984
2;production;XGB;all_index;subsample;0.6821323160544785;0.42893626461652984
2;production;XGB;all_index;0
2;production;XGB;all_index;colsample_bytree;0.55404684413016;0.5932483606460774
2;production;XGB;all_index;learning_rate;0.2689454648351185;0.5932483606460774
2;production;XGB;all_index;max_depth;28;0.5932483606460774
2;production;XGB;all_index;min_child_weight;4;0.5932483606460774
2;production;XGB;all_index;subsample;0.6821323160544785;0.5932483606460774
2;production;XGB;all_index;0
3;production;XGB;all_index;colsample_bytree;0.981287476845671;0.16929285668826768
3;production;XGB;all_index;learning_rate;0.7116111359928399;0.16929285668826768
3;production;XGB;all_index;max_depth;21;0.16929285668826768
3;production;XGB;all_index;min_child_weight;2;0.16929285668826768
3;production;XGB;all_index;subsample;0.6148163583598245;0.16929285668826768
3;production;XGB;all_index;0
3;production;XGB;all_index;colsample_bytree;0.981287476845671;0.3987174374641998
3;production;XGB;all_index;learning_rate;0.7116111359928399;0.3987174374641998
3;production;XGB;all_index;max_depth;21;0.3987174374641998
3;production;XGB;all_index;min_child_weight;2;0.3987174374641998
3;production;XGB;all_index;subsample;0.6148163583598245;0.3987174374641998
3;production;XGB;all_index;0
3;production;XGB;all_index;colsample_bytree;0.981287476845671;0.5952548335860834
3;production;XGB;all_index;learning_rate;0.7116111359928399;0.5952548335860834
3;production;XGB;all_index;max_depth;21;0.5952548335860834
3;production;XGB;all_index;min_child_weight;2;0.5952548335860834
3;production;XGB;all_index;subsample;0.6148163583598245;0.5952548335860834
3;production;XGB;all_index;0
4;production;XGB;all_index;colsample_bytree;0.6030917501392087;0.20576002276156138
4;production;XGB;all_index;learning_rate;0.06243406529531159;0.20576002276156138
4;production;XGB;all_index;max_depth;10;0.20576002276156138
4;production;XGB;all_index;min_child_weight;5;0.20576002276156138
4;production;XGB;all_index;subsample;0.5473186965244072;0.20576002276156138
4;production;XGB;all_index;0
4;production;XGB;all_index;colsample_bytree;0.6030917501392087;0.4393175536163896
4;production;XGB;all_index;learning_rate;0.06243406529531159;0.4393175536163896
4;production;XGB;all_index;max_depth;10;0.4393175536163896
4;production;XGB;all_index;min_child_weight;5;0.4393175536163896
4;production;XGB;all_index;subsample;0.5473186965244072;0.4393175536163896
4;production;XGB;all_index;0
4;production;XGB;all_index;colsample_bytree;0.6030917501392087;0.6208080122190366
4;production;XGB;all_index;learning_rate;0.06243406529531159;0.6208080122190366
4;production;XGB;all_index;max_depth;10;0.6208080122190366
4;production;XGB;all_index;min_child_weight;5;0.6208080122190366
4;production;XGB;all_index;subsample;0.5473186965244072;0.6208080122190366
4;production;XGB;all_index;0
