iter;dataset;cls;method;param;value;score
1;sepsis_cases_2;XGB;all_agg;colsample_bytree;0.8179870735410893;0.2690861665767224
1;sepsis_cases_2;XGB;all_agg;learning_rate;0.3288348348160668;0.2690861665767224
1;sepsis_cases_2;XGB;all_agg;max_depth;8;0.2690861665767224
1;sepsis_cases_2;XGB;all_agg;min_child_weight;1;0.2690861665767224
1;sepsis_cases_2;XGB;all_agg;subsample;0.9745777856393305;0.2690861665767224
1;sepsis_cases_2;XGB;all_agg;0
1;sepsis_cases_2;XGB;all_agg;colsample_bytree;0.8179870735410893;0.5514935999764923
1;sepsis_cases_2;XGB;all_agg;learning_rate;0.3288348348160668;0.5514935999764923
1;sepsis_cases_2;XGB;all_agg;max_depth;8;0.5514935999764923
1;sepsis_cases_2;XGB;all_agg;min_child_weight;1;0.5514935999764923
1;sepsis_cases_2;XGB;all_agg;subsample;0.9745777856393305;0.5514935999764923
1;sepsis_cases_2;XGB;all_agg;0
1;sepsis_cases_2;XGB;all_agg;colsample_bytree;0.8179870735410893;0.8316786216647193
1;sepsis_cases_2;XGB;all_agg;learning_rate;0.3288348348160668;0.8316786216647193
1;sepsis_cases_2;XGB;all_agg;max_depth;8;0.8316786216647193
1;sepsis_cases_2;XGB;all_agg;min_child_weight;1;0.8316786216647193
1;sepsis_cases_2;XGB;all_agg;subsample;0.9745777856393305;0.8316786216647193
1;sepsis_cases_2;XGB;all_agg;0
2;sepsis_cases_2;XGB;all_agg;colsample_bytree;0.55404684413016;0.27143850812496256
2;sepsis_cases_2;XGB;all_agg;learning_rate;0.2689454648351185;0.27143850812496256
2;sepsis_cases_2;XGB;all_agg;max_depth;28;0.27143850812496256
2;sepsis_cases_2;XGB;all_agg;min_child_weight;4;0.27143850812496256
2;sepsis_cases_2;XGB;all_agg;subsample;0.6821323160544785;0.27143850812496256
2;sepsis_cases_2;XGB;all_agg;0
2;sepsis_cases_2;XGB;all_agg;colsample_bytree;0.55404684413016;0.553911442277991
2;sepsis_cases_2;XGB;all_agg;learning_rate;0.2689454648351185;0.553911442277991
2;sepsis_cases_2;XGB;all_agg;max_depth;28;0.553911442277991
2;sepsis_cases_2;XGB;all_agg;min_child_weight;4;0.553911442277991
2;sepsis_cases_2;XGB;all_agg;subsample;0.6821323160544785;0.553911442277991
2;sepsis_cases_2;XGB;all_agg;0
2;sepsis_cases_2;XGB;all_agg;colsample_bytree;0.55404684413016;0.830326934965412
2;sepsis_cases_2;XGB;all_agg;learning_rate;0.2689454648351185;0.830326934965412
2;sepsis_cases_2;XGB;all_agg;max_depth;28;0.830326934965412
2;sepsis_cases_2;XGB;all_agg;min_child_weight;4;0.830326934965412
2;sepsis_cases_2;XGB;all_agg;subsample;0.6821323160544785;0.830326934965412
2;sepsis_cases_2;XGB;all_agg;0
3;sepsis_cases_2;XGB;all_agg;colsample_bytree;0.981287476845671;0.26676380644000713
3;sepsis_cases_2;XGB;all_agg;learning_rate;0.7116111359928399;0.26676380644000713
3;sepsis_cases_2;XGB;all_agg;max_depth;21;0.26676380644000713
3;sepsis_cases_2;XGB;all_agg;min_child_weight;2;0.26676380644000713
3;sepsis_cases_2;XGB;all_agg;subsample;0.6148163583598245;0.26676380644000713
3;sepsis_cases_2;XGB;all_agg;0
3;sepsis_cases_2;XGB;all_agg;colsample_bytree;0.981287476845671;0.5481275945045222
3;sepsis_cases_2;XGB;all_agg;learning_rate;0.7116111359928399;0.5481275945045222
3;sepsis_cases_2;XGB;all_agg;max_depth;21;0.5481275945045222
3;sepsis_cases_2;XGB;all_agg;min_child_weight;2;0.5481275945045222
3;sepsis_cases_2;XGB;all_agg;subsample;0.6148163583598245;0.5481275945045222
3;sepsis_cases_2;XGB;all_agg;0
3;sepsis_cases_2;XGB;all_agg;colsample_bytree;0.981287476845671;0.8297700138614247
3;sepsis_cases_2;XGB;all_agg;learning_rate;0.7116111359928399;0.8297700138614247
3;sepsis_cases_2;XGB;all_agg;max_depth;21;0.8297700138614247
3;sepsis_cases_2;XGB;all_agg;min_child_weight;2;0.8297700138614247
3;sepsis_cases_2;XGB;all_agg;subsample;0.6148163583598245;0.8297700138614247
3;sepsis_cases_2;XGB;all_agg;0
4;sepsis_cases_2;XGB;all_agg;colsample_bytree;0.6030917501392087;0.27092702524434853
4;sepsis_cases_2;XGB;all_agg;learning_rate;0.06243406529531159;0.27092702524434853
4;sepsis_cases_2;XGB;all_agg;max_depth;10;0.27092702524434853
4;sepsis_cases_2;XGB;all_agg;min_child_weight;5;0.27092702524434853
4;sepsis_cases_2;XGB;all_agg;subsample;0.5473186965244072;0.27092702524434853
4;sepsis_cases_2;XGB;all_agg;0
4;sepsis_cases_2;XGB;all_agg;colsample_bytree;0.6030917501392087;0.5507824245338213
4;sepsis_cases_2;XGB;all_agg;learning_rate;0.06243406529531159;0.5507824245338213
4;sepsis_cases_2;XGB;all_agg;max_depth;10;0.5507824245338213
4;sepsis_cases_2;XGB;all_agg;min_child_weight;5;0.5507824245338213
4;sepsis_cases_2;XGB;all_agg;subsample;0.5473186965244072;0.5507824245338213
4;sepsis_cases_2;XGB;all_agg;0
4;sepsis_cases_2;XGB;all_agg;colsample_bytree;0.6030917501392087;0.8290961169064749
4;sepsis_cases_2;XGB;all_agg;learning_rate;0.06243406529531159;0.8290961169064749
4;sepsis_cases_2;XGB;all_agg;max_depth;10;0.8290961169064749
4;sepsis_cases_2;XGB;all_agg;min_child_weight;5;0.8290961169064749
4;sepsis_cases_2;XGB;all_agg;subsample;0.5473186965244072;0.8290961169064749
4;sepsis_cases_2;XGB;all_agg;0
