dataset;method;cls;nr_events;metric;score
production;all_embeddings;CNN;1;-1;auc;0.5904761904761905
production;all_embeddings;CNN;2;-1;auc;0.6005291005291005
production;all_embeddings;CNN;3;-1;auc;0.6120401337792643
production;all_embeddings;CNN;4;-1;auc;0.6224999999999999
production;all_embeddings;CNN;5;-1;auc;0.6533333333333333
production;all_embeddings;CNN;6;-1;auc;0.7053571428571428
production;all_embeddings;CNN;7;-1;auc;0.7023809523809523
production;all_embeddings;CNN;8;-1;auc;0.6363636363636364
production;all_embeddings;CNN;9;-1;auc;0.8125
production;all_embeddings;CNN;10;-1;auc;0.888888888888889
production;all_embeddings;CNN;11;-1;auc;0.7083333333333333
production;all_embeddings;CNN;12;-1;auc;1.0
production;all_embeddings;CNN;13;-1;auc;1.0
production;all_embeddings;CNN;14;-1;auc;1.0
production;all_embeddings;CNN;15;-1;auc;1.0
production;all_embeddings;CNN;16;-1;auc;1.0
production;all_embeddings;CNN;17;-1;auc;nan
production;all_embeddings;CNN;-1;auc;0.698013524936602
event columns:;14;  case columns:;3;  control columns:;1
parsimony event;1.0;parsimony case;1.0;parsimony control;1.0
FC event;0.06453804347826086;FC case;0.08695652173913043;FC control;0.078125
monotonicity;0.36999363692864196
shap event;6;shap case;3;shap control;1feature_event;6;feature_case;2;feature_control;1
