dataset;method;cls;nr_events;metric;score
production;all_embeddings;LSTM;1;-1;auc;0.5761904761904761
production;all_embeddings;LSTM;2;-1;auc;0.5608465608465609
production;all_embeddings;LSTM;3;-1;auc;0.5317725752508362
production;all_embeddings;LSTM;4;-1;auc;0.56
production;all_embeddings;LSTM;5;-1;auc;0.5666666666666667
production;all_embeddings;LSTM;6;-1;auc;0.5625
production;all_embeddings;LSTM;7;-1;auc;0.6071428571428572
production;all_embeddings;LSTM;8;-1;auc;0.5584415584415585
production;all_embeddings;LSTM;9;-1;auc;0.65
production;all_embeddings;LSTM;10;-1;auc;0.6111111111111112
production;all_embeddings;LSTM;11;-1;auc;0.8333333333333334
production;all_embeddings;LSTM;12;-1;auc;1.0
production;all_embeddings;LSTM;13;-1;auc;1.0
production;all_embeddings;LSTM;14;-1;auc;1.0
production;all_embeddings;LSTM;15;-1;auc;1.0
production;all_embeddings;LSTM;16;-1;auc;1.0
production;all_embeddings;LSTM;17;-1;auc;nan
production;all_embeddings;LSTM;-1;auc;0.6055314877430262
event columns:;14;  case columns:;3;  control columns:;1
parsimony event;14;parsimony case;3;parsimony control;1
FC event;0.046875;FC case;0.04619565217391304;FC control;0.042119565217391304
monotonicity;0.6453377388290267
LOD;1.0
