dataset;method;cls;nr_events;metric;score
bpic2011_f1;all_index;GLRM;1;-1;auc;0.5961760851129443
bpic2011_f1;all_index;GLRM;2;-1;auc;0.5970220180579755
bpic2011_f1;all_index;GLRM;3;-1;auc;0.6001028894795506
bpic2011_f1;all_index;GLRM;4;-1;auc;0.5999281092739036
bpic2011_f1;all_index;GLRM;5;-1;auc;0.6057600610337592
bpic2011_f1;all_index;GLRM;6;-1;auc;0.612352702153596
bpic2011_f1;all_index;GLRM;7;-1;auc;0.6123872026251025
bpic2011_f1;all_index;GLRM;8;-1;auc;0.7945492662473795
bpic2011_f1;all_index;GLRM;9;-1;auc;0.9074074074074074
bpic2011_f1;all_index;GLRM;10;-1;auc;0.9074074074074074
bpic2011_f1;all_index;GLRM;11;-1;auc;0.908008658008658
bpic2011_f1;all_index;GLRM;12;-1;auc;0.908008658008658
bpic2011_f1;all_index;GLRM;13;-1;auc;0.906951286261631
bpic2011_f1;all_index;GLRM;14;-1;auc;0.9072535991140642
bpic2011_f1;all_index;GLRM;15;-1;auc;0.9072535991140642
bpic2011_f1;all_index;GLRM;16;-1;auc;0.9072535991140642
bpic2011_f1;all_index;GLRM;17;-1;auc;0.9101073345259392
bpic2011_f1;all_index;GLRM;18;-1;auc;0.9101073345259392
bpic2011_f1;all_index;GLRM;19;-1;auc;0.9104072398190045
bpic2011_f1;all_index;GLRM;20;-1;auc;0.9124567474048443
bpic2011_f1;all_index;GLRM;21;-1;auc;0.9107058823529411
bpic2011_f1;all_index;GLRM;22;-1;auc;0.9104010025062657
bpic2011_f1;all_index;GLRM;23;-1;auc;0.9074792960662525
bpic2011_f1;all_index;GLRM;24;-1;auc;0.9130551096843231
bpic2011_f1;all_index;GLRM;25;-1;auc;0.8910127431254191
bpic2011_f1;all_index;GLRM;26;-1;auc;0.8607142857142858
bpic2011_f1;all_index;GLRM;27;-1;auc;0.7739925218113834
bpic2011_f1;all_index;GLRM;28;-1;auc;0.7560975609756098
bpic2011_f1;all_index;GLRM;29;-1;auc;0.6840277777777778
bpic2011_f1;all_index;GLRM;30;-1;auc;0.6464646464646464
bpic2011_f1;all_index;GLRM;31;-1;auc;0.6512500000000001
bpic2011_f1;all_index;GLRM;32;-1;auc;0.6536796536796536
bpic2011_f1;all_index;GLRM;33;-1;auc;0.6536796536796536
bpic2011_f1;all_index;GLRM;34;-1;auc;0.611842105263158
bpic2011_f1;all_index;GLRM;35;-1;auc;0.611842105263158
bpic2011_f1;all_index;GLRM;36;-1;auc;0.6148648648648649
bpic2011_f1;all_index;GLRM;-1;auc;0.811562397535329
event columns:;2248;  case columns:;730;  control columns:;2368
parsimony event;0.0;parsimony case;0.0027397260273972603;parsimony control;0.0004222972972972973
FC event;0.0;FC case;0.11784683307862116;FC control;0.7595517065715741
monotonicity;1
