dataset;method;cls;nr_events;metric;score
bpic2011_f3;all_agg;GLRM;1;-1;auc;0.8349137931034485
bpic2011_f3;all_agg;GLRM;2;-1;auc;0.9263272925963028
bpic2011_f3;all_agg;GLRM;3;-1;auc;0.916649652919559
bpic2011_f3;all_agg;GLRM;4;-1;auc;0.909424529305393
bpic2011_f3;all_agg;GLRM;5;-1;auc;0.9132572332730561
bpic2011_f3;all_agg;GLRM;6;-1;auc;0.9071729957805909
bpic2011_f3;all_agg;GLRM;7;-1;auc;0.9061587147030186
bpic2011_f3;all_agg;GLRM;8;-1;auc;0.9200401052763505
bpic2011_f3;all_agg;GLRM;9;-1;auc;0.9686050883569369
bpic2011_f3;all_agg;GLRM;10;-1;auc;0.9922922672014037
bpic2011_f3;all_agg;GLRM;11;-1;auc;0.9971231300345224
bpic2011_f3;all_agg;GLRM;12;-1;auc;0.9974427822529088
bpic2011_f3;all_agg;GLRM;13;-1;auc;0.9993606955632273
bpic2011_f3;all_agg;GLRM;14;-1;auc;0.9977815476967244
bpic2011_f3;all_agg;GLRM;15;-1;auc;0.9979120448910348
bpic2011_f3;all_agg;GLRM;16;-1;auc;0.9979513613534232
bpic2011_f3;all_agg;GLRM;17;-1;auc;0.9980835315886862
bpic2011_f3;all_agg;GLRM;18;-1;auc;0.9982157018239493
bpic2011_f3;all_agg;GLRM;19;-1;auc;0.9981496710526316
bpic2011_f3;all_agg;GLRM;20;-1;auc;0.9982404279279279
bpic2011_f3;all_agg;GLRM;21;-1;auc;0.9983393719806763
bpic2011_f3;all_agg;GLRM;22;-1;auc;0.9984449760765549
bpic2011_f3;all_agg;GLRM;23;-1;auc;0.9977116704805492
bpic2011_f3;all_agg;GLRM;24;-1;auc;0.997545008183306
bpic2011_f3;all_agg;GLRM;25;-1;auc;0.9966755319148936
bpic2011_f3;all_agg;GLRM;26;-1;auc;0.9962006079027356
bpic2011_f3;all_agg;GLRM;27;-1;auc;0.9981481481481481
bpic2011_f3;all_agg;GLRM;28;-1;auc;0.99812734082397
bpic2011_f3;all_agg;GLRM;29;-1;auc;0.9977272727272728
bpic2011_f3;all_agg;GLRM;30;-1;auc;0.9971590909090909
bpic2011_f3;all_agg;GLRM;31;-1;auc;0.9970588235294118
bpic2011_f3;all_agg;GLRM;-1;auc;0.9800721182765866
event columns:;132;  case columns:;670;  control columns:;166
parsimony event;1;parsimony case;6;parsimony control;5
FC event;1.3695829926410465;FC case;65.1880621422731;FC control;37.79640228945217
monotonicity;0.9999510151215599
LOD;1.4142135623730951
