dataset;method;cls;nr_events;metric;score
bpic2015_4_f2;all_index;GLRM;1;-1;auc;0.5
bpic2015_4_f2;all_index;GLRM;2;-1;auc;0.5
bpic2015_4_f2;all_index;GLRM;3;-1;auc;0.5
bpic2015_4_f2;all_index;GLRM;4;-1;auc;0.5
bpic2015_4_f2;all_index;GLRM;5;-1;auc;0.5
bpic2015_4_f2;all_index;GLRM;6;-1;auc;0.5
bpic2015_4_f2;all_index;GLRM;7;-1;auc;0.5
bpic2015_4_f2;all_index;GLRM;8;-1;auc;0.5
bpic2015_4_f2;all_index;GLRM;9;-1;auc;0.41195190947666194
bpic2015_4_f2;all_index;GLRM;10;-1;auc;0.41071428571428575
bpic2015_4_f2;all_index;GLRM;11;-1;auc;0.41071428571428575
bpic2015_4_f2;all_index;GLRM;12;-1;auc;0.41071428571428575
bpic2015_4_f2;all_index;GLRM;13;-1;auc;0.41071428571428575
bpic2015_4_f2;all_index;GLRM;14;-1;auc;0.4093984962406015
bpic2015_4_f2;all_index;GLRM;15;-1;auc;0.4093984962406015
bpic2015_4_f2;all_index;GLRM;16;-1;auc;0.5946048632218845
bpic2015_4_f2;all_index;GLRM;17;-1;auc;0.5946048632218845
bpic2015_4_f2;all_index;GLRM;18;-1;auc;0.59277950310559
bpic2015_4_f2;all_index;GLRM;19;-1;auc;0.59277950310559
bpic2015_4_f2;all_index;GLRM;20;-1;auc;0.5898876404494382
bpic2015_4_f2;all_index;GLRM;21;-1;auc;0.5894957983193279
bpic2015_4_f2;all_index;GLRM;22;-1;auc;0.5912220309810672
bpic2015_4_f2;all_index;GLRM;23;-1;auc;0.5970017636684303
bpic2015_4_f2;all_index;GLRM;24;-1;auc;0.7237793851717902
bpic2015_4_f2;all_index;GLRM;25;-1;auc;0.7271062271062271
bpic2015_4_f2;all_index;GLRM;26;-1;auc;0.7276190476190476
bpic2015_4_f2;all_index;GLRM;27;-1;auc;0.7276190476190476
bpic2015_4_f2;all_index;GLRM;28;-1;auc;0.7082051282051282
bpic2015_4_f2;all_index;GLRM;29;-1;auc;0.682648401826484
bpic2015_4_f2;all_index;GLRM;30;-1;auc;0.6898148148148148
bpic2015_4_f2;all_index;GLRM;31;-1;auc;0.6889671361502347
bpic2015_4_f2;all_index;GLRM;32;-1;auc;0.6889671361502347
bpic2015_4_f2;all_index;GLRM;33;-1;auc;0.6889671361502347
bpic2015_4_f2;all_index;GLRM;34;-1;auc;0.6613316261203586
bpic2015_4_f2;all_index;GLRM;35;-1;auc;0.6613316261203586
bpic2015_4_f2;all_index;GLRM;36;-1;auc;0.6613316261203586
bpic2015_4_f2;all_index;GLRM;37;-1;auc;0.6613316261203586
bpic2015_4_f2;all_index;GLRM;38;-1;auc;0.628169014084507
bpic2015_4_f2;all_index;GLRM;39;-1;auc;0.627142857142857
bpic2015_4_f2;all_index;GLRM;40;-1;auc;0.627142857142857
bpic2015_4_f2;all_index;GLRM;-1;auc;0.5906778968658779
event columns:;1175;  case columns:;23;  control columns:;2148
parsimony event;0.0;parsimony case;0.0;parsimony control;0.00186219739292365
FC event;0.9586901763224182;FC case;0.0;FC control;0.9841309823677582
monotonicity;1
