dataset;method;cls;nr_events;metric;score
production;all_index;GLRM;1;-1;auc;0.4666666666666667
production;all_index;GLRM;2;-1;auc;0.44973544973544977
production;all_index;GLRM;3;-1;auc;0.45150501672240806
production;all_index;GLRM;4;-1;auc;0.6775
production;all_index;GLRM;5;-1;auc;0.6633333333333333
production;all_index;GLRM;6;-1;auc;0.7142857142857144
production;all_index;GLRM;7;-1;auc;0.75
production;all_index;GLRM;8;-1;auc;0.7402597402597402
production;all_index;GLRM;9;-1;auc;0.9
production;all_index;GLRM;10;-1;auc;1.0
production;all_index;GLRM;11;-1;auc;1.0
production;all_index;GLRM;12;-1;auc;1.0
production;all_index;GLRM;13;-1;auc;1.0
production;all_index;GLRM;14;-1;auc;1.0
production;all_index;GLRM;15;-1;auc;1.0
production;all_index;GLRM;16;-1;auc;1.0
production;all_index;GLRM;17;-1;auc;nan
production;all_index;GLRM;-1;auc;0.665469146238377
event columns:;1135;  case columns:;35;  control columns:;441
parsimony event;0.007929515418502203;parsimony case;0.05714285714285714;parsimony control;0.013605442176870748
FC event;0.4090909090909091;FC case;0.3146853146853147;FC control;0.0
monotonicity;1
