dataset;method;cls;nr_events;metric;score
sepsis_cases_1;all_index;GLRM;1;-1;auc;0.49560351718625106
sepsis_cases_1;all_index;GLRM;2;-1;auc;0.4832134292565947
sepsis_cases_1;all_index;GLRM;3;-1;auc;0.4832134292565947
sepsis_cases_1;all_index;GLRM;4;-1;auc;0.4832134292565947
sepsis_cases_1;all_index;GLRM;5;-1;auc;0.4832134292565947
sepsis_cases_1;all_index;GLRM;6;-1;auc;0.47202238209432457
sepsis_cases_1;all_index;GLRM;7;-1;auc;0.47202238209432457
sepsis_cases_1;all_index;GLRM;8;-1;auc;0.47202238209432457
sepsis_cases_1;all_index;GLRM;9;-1;auc;0.47079248366013077
sepsis_cases_1;all_index;GLRM;10;-1;auc;0.47678275290215594
sepsis_cases_1;all_index;GLRM;11;-1;auc;0.4755
sepsis_cases_1;all_index;GLRM;12;-1;auc;0.4763975155279503
sepsis_cases_1;all_index;GLRM;13;-1;auc;0.4313131313131313
sepsis_cases_1;all_index;GLRM;14;-1;auc;0.4527439024390244
sepsis_cases_1;all_index;GLRM;15;-1;auc;0.45714285714285713
sepsis_cases_1;all_index;GLRM;16;-1;auc;0.42592592592592593
sepsis_cases_1;all_index;GLRM;17;-1;auc;0.38636363636363635
sepsis_cases_1;all_index;GLRM;18;-1;auc;0.2222222222222222
sepsis_cases_1;all_index;GLRM;19;-1;auc;0.23529411764705882
sepsis_cases_1;all_index;GLRM;20;-1;auc;0.23333333333333334
sepsis_cases_1;all_index;GLRM;21;-1;auc;0.23076923076923078
sepsis_cases_1;all_index;GLRM;22;-1;auc;0.25
sepsis_cases_1;all_index;GLRM;23;-1;auc;0.26315789473684215
sepsis_cases_1;all_index;GLRM;24;-1;auc;0.2647058823529412
sepsis_cases_1;all_index;GLRM;25;-1;auc;0.26666666666666666
sepsis_cases_1;all_index;GLRM;26;-1;auc;0.25
sepsis_cases_1;all_index;GLRM;27;-1;auc;0.25
sepsis_cases_1;all_index;GLRM;28;-1;auc;0.23076923076923078
sepsis_cases_1;all_index;GLRM;29;-1;auc;0.2272727272727273
sepsis_cases_1;all_index;GLRM;-1;auc;0.4501786894556614
event columns:;610;  case columns:;183;  control columns:;233
parsimony event;0.014754098360655738;parsimony case;0.0273224043715847;parsimony control;0.0
FC event;0.04853590052146009;FC case;0.0;FC control;0.0
monotonicity;1
