dataset;method;cls;nr_events;metric;score
sepsis_cases_2;all_agg;GLRM;1;-1;auc;0.7626262626262627
sepsis_cases_2;all_agg;GLRM;2;-1;auc;0.7626262626262627
sepsis_cases_2;all_agg;GLRM;3;-1;auc;0.7626262626262627
sepsis_cases_2;all_agg;GLRM;4;-1;auc;0.7626262626262627
sepsis_cases_2;all_agg;GLRM;5;-1;auc;0.7760141093474426
sepsis_cases_2;all_agg;GLRM;6;-1;auc;0.7648148148148148
sepsis_cases_2;all_agg;GLRM;7;-1;auc;0.7524366471734893
sepsis_cases_2;all_agg;GLRM;8;-1;auc;0.7524366471734893
sepsis_cases_2;all_agg;GLRM;9;-1;auc;0.5389718076285241
sepsis_cases_2;all_agg;GLRM;10;-1;auc;0.4807692307692308
sepsis_cases_2;all_agg;GLRM;11;-1;auc;0.4793388429752066
sepsis_cases_2;all_agg;GLRM;12;-1;auc;0.4772727272727273
sepsis_cases_2;all_agg;GLRM;13;-1;auc;0.4734042553191489
sepsis_cases_2;all_agg;GLRM;-1;auc;0.7304216202579547
event columns:;78;  case columns:;183;  control columns:;15
parsimony event;0;parsimony case;6;parsimony control;0
FC event;0.0;FC case;100.0;FC control;0.0
monotonicity;0.7075309523506798
LOD;5.656854249492381
