dataset;method;cls;nr_events;metric;score
bpic2011_f4;all_agg;LLM;1;-1;auc;0.9029181149462453
bpic2011_f4;all_agg;LLM;2;-1;auc;0.9009933235629376
bpic2011_f4;all_agg;LLM;3;-1;auc;0.8937374793136487
bpic2011_f4;all_agg;LLM;4;-1;auc;0.8924429140993113
bpic2011_f4;all_agg;LLM;5;-1;auc;0.8918301275947438
bpic2011_f4;all_agg;LLM;6;-1;auc;0.8877416742585282
bpic2011_f4;all_agg;LLM;7;-1;auc;0.888146573539832
bpic2011_f4;all_agg;LLM;8;-1;auc;0.8869188743428512
bpic2011_f4;all_agg;LLM;9;-1;auc;0.8839294918049685
bpic2011_f4;all_agg;LLM;10;-1;auc;0.8844449025873622
bpic2011_f4;all_agg;LLM;11;-1;auc;0.8801144795420819
bpic2011_f4;all_agg;LLM;12;-1;auc;0.8840364638541446
bpic2011_f4;all_agg;LLM;13;-1;auc;0.8838951310861423
bpic2011_f4;all_agg;LLM;14;-1;auc;0.8808770590160357
bpic2011_f4;all_agg;LLM;15;-1;auc;0.8806588851314497
bpic2011_f4;all_agg;LLM;16;-1;auc;0.8818588414966729
bpic2011_f4;all_agg;LLM;17;-1;auc;0.8833860586887751
bpic2011_f4;all_agg;LLM;18;-1;auc;0.8832744924977934
bpic2011_f4;all_agg;LLM;19;-1;auc;0.884024064171123
bpic2011_f4;all_agg;LLM;20;-1;auc;0.8830213903743315
bpic2011_f4;all_agg;LLM;21;-1;auc;0.8816844919786095
bpic2011_f4;all_agg;LLM;22;-1;auc;0.8802880288028804
bpic2011_f4;all_agg;LLM;23;-1;auc;0.8783753375337533
bpic2011_f4;all_agg;LLM;24;-1;auc;0.8773863636363637
bpic2011_f4;all_agg;LLM;25;-1;auc;0.8747727272727273
bpic2011_f4;all_agg;LLM;26;-1;auc;0.8722727272727273
bpic2011_f4;all_agg;LLM;27;-1;auc;0.8720407196969697
bpic2011_f4;all_agg;LLM;28;-1;auc;0.8715311004784689
bpic2011_f4;all_agg;LLM;29;-1;auc;0.8675071066617228
bpic2011_f4;all_agg;LLM;30;-1;auc;0.8659003831417624
bpic2011_f4;all_agg;LLM;31;-1;auc;0.8750979879801412
bpic2011_f4;all_agg;LLM;32;-1;auc;0.8843969713358572
bpic2011_f4;all_agg;LLM;33;-1;auc;0.8796581675539367
bpic2011_f4;all_agg;LLM;34;-1;auc;0.8883079157588962
bpic2011_f4;all_agg;LLM;35;-1;auc;0.8883363471971067
bpic2011_f4;all_agg;LLM;36;-1;auc;0.8847117794486216
bpic2011_f4;all_agg;LLM;37;-1;auc;0.8941798941798942
bpic2011_f4;all_agg;LLM;38;-1;auc;0.8965459423205902
bpic2011_f4;all_agg;LLM;39;-1;auc;0.8921670117322291
bpic2011_f4;all_agg;LLM;40;-1;auc;0.892512077294686
bpic2011_f4;all_agg;LLM;-1;auc;0.8838418300239995
event columns:;143;  case columns:;759;  control columns:;204
parsimony event;0.8321678321678322;parsimony case;0.5237154150197628;parsimony control;0.8137254901960784
FC event;0.5363769857161927;FC case;0.4658924042183954;FC control;0.001735415832332132
monotonicity;1
