dataset;method;cls;nr_events;metric;score
sepsis_cases_1;all_index;LLM;1;-1;auc;0.45283772981614706
sepsis_cases_1;all_index;LLM;2;-1;auc;0.4576338928856915
sepsis_cases_1;all_index;LLM;3;-1;auc;0.48321342925659466
sepsis_cases_1;all_index;LLM;4;-1;auc;0.4504396482813749
sepsis_cases_1;all_index;LLM;5;-1;auc;0.48721023181454837
sepsis_cases_1;all_index;LLM;6;-1;auc;0.5135891286970423
sepsis_cases_1;all_index;LLM;7;-1;auc;0.4948041566746603
sepsis_cases_1;all_index;LLM;8;-1;auc;0.518784972022382
sepsis_cases_1;all_index;LLM;9;-1;auc;0.5253267973856208
sepsis_cases_1;all_index;LLM;10;-1;auc;0.5530679933665008
sepsis_cases_1;all_index;LLM;11;-1;auc;0.5429999999999999
sepsis_cases_1;all_index;LLM;12;-1;auc;0.5565217391304348
sepsis_cases_1;all_index;LLM;13;-1;auc;0.5777777777777777
sepsis_cases_1;all_index;LLM;14;-1;auc;0.5792682926829268
sepsis_cases_1;all_index;LLM;15;-1;auc;0.5750000000000001
sepsis_cases_1;all_index;LLM;16;-1;auc;0.558641975308642
sepsis_cases_1;all_index;LLM;17;-1;auc;0.6409090909090909
sepsis_cases_1;all_index;LLM;18;-1;auc;0.3055555555555556
sepsis_cases_1;all_index;LLM;19;-1;auc;0.3088235294117647
sepsis_cases_1;all_index;LLM;20;-1;auc;0.2833333333333333
sepsis_cases_1;all_index;LLM;21;-1;auc;0.2692307692307692
sepsis_cases_1;all_index;LLM;22;-1;auc;0.3181818181818182
sepsis_cases_1;all_index;LLM;23;-1;auc;0.368421052631579
sepsis_cases_1;all_index;LLM;24;-1;auc;0.3235294117647059
sepsis_cases_1;all_index;LLM;25;-1;auc;0.36666666666666664
sepsis_cases_1;all_index;LLM;26;-1;auc;0.3571428571428572
sepsis_cases_1;all_index;LLM;27;-1;auc;0.3928571428571429
sepsis_cases_1;all_index;LLM;28;-1;auc;0.34615384615384615
sepsis_cases_1;all_index;LLM;29;-1;auc;0.40909090909090906
sepsis_cases_1;all_index;LLM;-1;auc;0.49293711658988776
event columns:;610;  case columns:;183;  control columns:;233
parsimony event;0.8254098360655737;parsimony case;0.73224043715847;parsimony control;0.7811158798283262
FC event;0.3397513036502206;FC case;0.11512234255916566;FC control;0.006016847172081829
monotonicity;1
