dataset;method;cls;nr_events;metric;score
sepsis_cases_2;all_agg;LLM;1;-1;auc;0.8794612794612795
sepsis_cases_2;all_agg;LLM;2;-1;auc;0.8808080808080808
sepsis_cases_2;all_agg;LLM;3;-1;auc;0.8767676767676768
sepsis_cases_2;all_agg;LLM;4;-1;auc;0.8855218855218857
sepsis_cases_2;all_agg;LLM;5;-1;auc;0.9234567901234567
sepsis_cases_2;all_agg;LLM;6;-1;auc;0.9207407407407409
sepsis_cases_2;all_agg;LLM;7;-1;auc;0.9103313840155945
sepsis_cases_2;all_agg;LLM;8;-1;auc;0.9079922027290448
sepsis_cases_2;all_agg;LLM;9;-1;auc;0.8175787728026533
sepsis_cases_2;all_agg;LLM;10;-1;auc;0.8107692307692308
sepsis_cases_2;all_agg;LLM;11;-1;auc;0.8842975206611571
sepsis_cases_2;all_agg;LLM;12;-1;auc;0.8696969696969697
sepsis_cases_2;all_agg;LLM;13;-1;auc;0.8794326241134751
sepsis_cases_2;all_agg;LLM;-1;auc;0.8947809908233736
event columns:;78;  case columns:;183;  control columns:;15
parsimony event;0.9294871794871795;parsimony case;0.6584699453551912;parsimony control;0.9
FC event;0.25121032813340505;FC case;0.15976331360946747;FC control;0.0005379236148466917
monotonicity;1
