dataset;method;cls;nr_events;metric;score
sepsis_cases_2;all_index;LLM;1;-1;auc;0.8750841750841751
sepsis_cases_2;all_index;LLM;2;-1;auc;0.8814814814814815
sepsis_cases_2;all_index;LLM;3;-1;auc;0.8818181818181818
sepsis_cases_2;all_index;LLM;4;-1;auc;0.8814814814814815
sepsis_cases_2;all_index;LLM;5;-1;auc;0.9312169312169313
sepsis_cases_2;all_index;LLM;6;-1;auc;0.9240740740740742
sepsis_cases_2;all_index;LLM;7;-1;auc;0.9251461988304094
sepsis_cases_2;all_index;LLM;8;-1;auc;0.9095516569200779
sepsis_cases_2;all_index;LLM;9;-1;auc;0.7006633499170812
sepsis_cases_2;all_index;LLM;10;-1;auc;0.7184615384615385
sepsis_cases_2;all_index;LLM;11;-1;auc;0.7548209366391185
sepsis_cases_2;all_index;LLM;12;-1;auc;0.7606060606060605
sepsis_cases_2;all_index;LLM;13;-1;auc;0.7801418439716312
sepsis_cases_2;all_index;LLM;-1;auc;0.8817981142190405
event columns:;311;  case columns:;183;  control columns:;118
parsimony event;0.8231511254019293;parsimony case;0.697632058287796;parsimony control;0.7570621468926553
FC event;0.3593329747175901;FC case;0.3055406132329209;FC control;0.0037654653039268424
monotonicity;1
