dataset;method;cls;nr_events;metric;score
traffic_fines_1;all_agg;LLM;1;-1;auc;0.8044230990086563
traffic_fines_1;all_agg;LLM;2;-1;auc;0.807423452246272
traffic_fines_1;all_agg;LLM;3;-1;auc;0.7765237218180205
traffic_fines_1;all_agg;LLM;4;-1;auc;0.7780153718938272
traffic_fines_1;all_agg;LLM;5;-1;auc;0.8054141629542246
traffic_fines_1;all_agg;LLM;6;-1;auc;0.8379497930441328
traffic_fines_1;all_agg;LLM;7;-1;auc;0.8038961038961039
traffic_fines_1;all_agg;LLM;8;-1;auc;0.826641651031895
traffic_fines_1;all_agg;LLM;9;-1;auc;0.7967032967032968
traffic_fines_1;all_agg;LLM;10;-1;auc;0.819047619047619
traffic_fines_1;all_agg;LLM;-1;auc;0.7977428434738677
event columns:;190;  case columns:;54;  control columns:;10
parsimony event;0.9078947368421053;parsimony case;0.8935185185185185;parsimony control;1.1
FC event;0.4839602394668474;FC case;0.001818592567491246;FC control;0.5507737490116345
monotonicity;1
