dataset;method;cls;nr_events;metric;score
bpic2015_3_f2;all_agg;LR;1;-1;auc;0.6249906247656191
bpic2015_3_f2;all_agg;LR;2;-1;auc;0.6421660541513537
bpic2015_3_f2;all_agg;LR;3;-1;auc;0.6460661516537913
bpic2015_3_f2;all_agg;LR;4;-1;auc;0.6509412735318384
bpic2015_3_f2;all_agg;LR;5;-1;auc;0.6531901933911984
bpic2015_3_f2;all_agg;LR;6;-1;auc;0.6541169268441995
bpic2015_3_f2;all_agg;LR;7;-1;auc;0.650976772804184
bpic2015_3_f2;all_agg;LR;8;-1;auc;0.6814296814296814
bpic2015_3_f2;all_agg;LR;9;-1;auc;0.7491841491841492
bpic2015_3_f2;all_agg;LR;10;-1;auc;0.7931896282411747
bpic2015_3_f2;all_agg;LR;11;-1;auc;0.790734570839283
bpic2015_3_f2;all_agg;LR;12;-1;auc;0.804616849119467
bpic2015_3_f2;all_agg;LR;13;-1;auc;0.8112803426939553
bpic2015_3_f2;all_agg;LR;14;-1;auc;0.9858054226475279
bpic2015_3_f2;all_agg;LR;15;-1;auc;0.9940676607343274
bpic2015_3_f2;all_agg;LR;16;-1;auc;0.9955106621773289
bpic2015_3_f2;all_agg;LR;17;-1;auc;0.9930254930254929
bpic2015_3_f2;all_agg;LR;18;-1;auc;0.9895783229116561
bpic2015_3_f2;all_agg;LR;19;-1;auc;0.9987173320506654
bpic2015_3_f2;all_agg;LR;20;-1;auc;0.9992784992784993
bpic2015_3_f2;all_agg;LR;21;-1;auc;0.9996776273372019
bpic2015_3_f2;all_agg;LR;22;-1;auc;0.9996776273372019
bpic2015_3_f2;all_agg;LR;23;-1;auc;0.9998379517096094
bpic2015_3_f2;all_agg;LR;24;-1;auc;0.9991809991809992
bpic2015_3_f2;all_agg;LR;25;-1;auc;0.999247491638796
bpic2015_3_f2;all_agg;LR;26;-1;auc;0.9994147157190636
bpic2015_3_f2;all_agg;LR;27;-1;auc;0.9997477931904162
bpic2015_3_f2;all_agg;LR;28;-1;auc;0.9997438524590164
bpic2015_3_f2;all_agg;LR;29;-1;auc;0.9997397866250325
bpic2015_3_f2;all_agg;LR;30;-1;auc;0.9999127856270713
bpic2015_3_f2;all_agg;LR;31;-1;auc;0.9999123037797071
bpic2015_3_f2;all_agg;LR;32;-1;auc;0.9999118165784833
bpic2015_3_f2;all_agg;LR;33;-1;auc;0.9999074074074075
bpic2015_3_f2;all_agg;LR;34;-1;auc;0.9999074074074075
bpic2015_3_f2;all_agg;LR;35;-1;auc;0.9999074074074075
bpic2015_3_f2;all_agg;LR;36;-1;auc;0.9999074074074075
bpic2015_3_f2;all_agg;LR;37;-1;auc;0.9999025341130605
bpic2015_3_f2;all_agg;LR;38;-1;auc;1.0
bpic2015_3_f2;all_agg;LR;39;-1;auc;1.0
bpic2015_3_f2;all_agg;LR;40;-1;auc;1.0
bpic2015_3_f2;all_agg;LR;-1;auc;0.9613254927202287
event columns:;87;  case columns:;34;  control columns:;314
parsimony event;25;parsimony case;22;parsimony control;54
FC event;0.0;FC case;0.0;FC control;0.0
monotonicity;0.11108787306944659
LOD;3.7416573867739413
