dataset;method;cls;nr_events;metric;score
production;all_index;LR;1;-1;auc;0.5833333333333333
production;all_index;LR;2;-1;auc;0.5978835978835979
production;all_index;LR;3;-1;auc;0.6020066889632107
production;all_index;LR;4;-1;auc;0.65
production;all_index;LR;5;-1;auc;0.7266666666666667
production;all_index;LR;6;-1;auc;0.7678571428571428
production;all_index;LR;7;-1;auc;0.7857142857142857
production;all_index;LR;8;-1;auc;0.7532467532467533
production;all_index;LR;9;-1;auc;0.875
production;all_index;LR;10;-1;auc;1.0
production;all_index;LR;11;-1;auc;1.0
production;all_index;LR;12;-1;auc;1.0
production;all_index;LR;13;-1;auc;1.0
production;all_index;LR;14;-1;auc;1.0
production;all_index;LR;15;-1;auc;1.0
production;all_index;LR;16;-1;auc;1.0
production;all_index;LR;17;-1;auc;nan
production;all_index;LR;-1;auc;0.7303994082840237
event columns:;1135;  case columns:;35;  control columns:;441
parsimony event;0.14889867841409693;parsimony case;0.6285714285714286;parsimony control;0.15419501133786848
FC event;0.03496503496503497;FC case;0.013986013986013986;FC control;0.0
monotonicity;1
