dataset;method;cls;nr_events;metric;score
sepsis_cases_2;all_index;LR;1;-1;auc;0.9070707070707071
sepsis_cases_2;all_index;LR;2;-1;auc;0.9084175084175083
sepsis_cases_2;all_index;LR;3;-1;auc;0.9101010101010101
sepsis_cases_2;all_index;LR;4;-1;auc;0.9131313131313131
sepsis_cases_2;all_index;LR;5;-1;auc;0.9509700176366843
sepsis_cases_2;all_index;LR;6;-1;auc;0.95
sepsis_cases_2;all_index;LR;7;-1;auc;0.9442495126705652
sepsis_cases_2;all_index;LR;8;-1;auc;0.9415204678362573
sepsis_cases_2;all_index;LR;9;-1;auc;0.9046434494195688
sepsis_cases_2;all_index;LR;10;-1;auc;0.8615384615384616
sepsis_cases_2;all_index;LR;11;-1;auc;0.9146005509641874
sepsis_cases_2;all_index;LR;12;-1;auc;0.9212121212121211
sepsis_cases_2;all_index;LR;13;-1;auc;0.9184397163120568
sepsis_cases_2;all_index;LR;-1;auc;0.926274794235439
event columns:;311;  case columns:;183;  control columns:;118
parsimony event;0.22186495176848875;parsimony case;0.44808743169398907;parsimony control;0.2033898305084746
FC event;0.34480903711672944;FC case;0.06777837547068316;FC control;0.0
monotonicity;1
