dataset;method;cls;nr_events;metric;score
traffic_fines_1;all_index;LR;1;-1;auc;0.556406911476411
traffic_fines_1;all_index;LR;2;-1;auc;0.8562961156325919
traffic_fines_1;all_index;LR;3;-1;auc;0.556609180567655
traffic_fines_1;all_index;LR;4;-1;auc;0.6482684966374832
traffic_fines_1;all_index;LR;5;-1;auc;0.6767765878276812
traffic_fines_1;all_index;LR;6;-1;auc;0.7587037037037037
traffic_fines_1;all_index;LR;7;-1;auc;0.6037974683544304
traffic_fines_1;all_index;LR;8;-1;auc;0.5978523895946763
traffic_fines_1;all_index;LR;9;-1;auc;0.4193548387096774
traffic_fines_1;all_index;LR;10;-1;auc;0.09523809523809523
traffic_fines_1;all_index;LR;-1;auc;0.7949634926653772
event columns:;1229;  case columns:;54;  control columns:;49
parsimony event;0.8779495524816925;parsimony case;1.0;parsimony control;0.9183673469387755
FC event;0.8692759516548063;FC case;0.002157460747769118;FC control;0.003207952106630521
monotonicity;1
