dataset;method;cls;nr_events;metric;score
bpic2011_f2;all_agg;RF;1;-1;auc;0.9019523522834781
bpic2011_f2;all_agg;RF;2;-1;auc;0.9145021645021645
bpic2011_f2;all_agg;RF;3;-1;auc;0.9098738141291334
bpic2011_f2;all_agg;RF;4;-1;auc;0.8961516424751718
bpic2011_f2;all_agg;RF;5;-1;auc;0.8975024975024976
bpic2011_f2;all_agg;RF;6;-1;auc;0.896737408932531
bpic2011_f2;all_agg;RF;7;-1;auc;0.9006440713757787
bpic2011_f2;all_agg;RF;8;-1;auc;0.9234195556509607
bpic2011_f2;all_agg;RF;9;-1;auc;0.963024578727058
bpic2011_f2;all_agg;RF;10;-1;auc;0.9866909949554578
bpic2011_f2;all_agg;RF;11;-1;auc;0.9872881355932204
bpic2011_f2;all_agg;RF;12;-1;auc;0.9898745322474136
bpic2011_f2;all_agg;RF;13;-1;auc;0.992895992895993
bpic2011_f2;all_agg;RF;14;-1;auc;0.9958030852994556
bpic2011_f2;all_agg;RF;15;-1;auc;0.9956329401088929
bpic2011_f2;all_agg;RF;16;-1;auc;0.9964269509981851
bpic2011_f2;all_agg;RF;17;-1;auc;0.9965970961887477
bpic2011_f2;all_agg;RF;18;-1;auc;0.9984119782214157
bpic2011_f2;all_agg;RF;19;-1;auc;0.9983981693363845
bpic2011_f2;all_agg;RF;20;-1;auc;0.9982837528604118
bpic2011_f2;all_agg;RF;21;-1;auc;0.9983981693363845
bpic2011_f2;all_agg;RF;22;-1;auc;0.9982686980609418
bpic2011_f2;all_agg;RF;23;-1;auc;0.9982686980609418
bpic2011_f2;all_agg;RF;24;-1;auc;0.9990643274853801
bpic2011_f2;all_agg;RF;25;-1;auc;0.9991812865497076
bpic2011_f2;all_agg;RF;26;-1;auc;0.9992982456140351
bpic2011_f2;all_agg;RF;27;-1;auc;0.9992625368731564
bpic2011_f2;all_agg;RF;28;-1;auc;0.9993799603174603
bpic2011_f2;all_agg;RF;29;-1;auc;0.9994949494949495
bpic2011_f2;all_agg;RF;30;-1;auc;0.9996212121212121
bpic2011_f2;all_agg;RF;31;-1;auc;0.9996011168727563
bpic2011_f2;all_agg;RF;32;-1;auc;0.9991112934098988
bpic2011_f2;all_agg;RF;33;-1;auc;0.9987135506003431
bpic2011_f2;all_agg;RF;34;-1;auc;0.9992673992673993
bpic2011_f2;all_agg;RF;35;-1;auc;0.999395313681028
bpic2011_f2;all_agg;RF;36;-1;auc;0.9994519260883182
bpic2011_f2;all_agg;RF;37;-1;auc;0.9990064580228515
bpic2011_f2;all_agg;RF;38;-1;auc;0.9986617597858816
bpic2011_f2;all_agg;RF;39;-1;auc;0.9985484972677596
bpic2011_f2;all_agg;RF;40;-1;auc;0.9986338797814208
bpic2011_f2;all_agg;RF;-1;auc;0.9849383261622902
event columns:;146;  case columns:;760;  control columns:;215
parsimony event;0.9178082191780822;parsimony case;1.0;parsimony control;0.9627906976744186
FC event;0.27541418157720343;FC case;0.2811133200795229;FC control;0.2532803180914513
monotonicity;0.04654529478467626
shap event;3;shap case;3;shap control;4feature_event;0;feature_case;10;feature_control;0
