dataset;method;cls;nr_events;metric;score
bpic2011_f4;all_index;RF;1;-1;auc;0.880082450893218
bpic2011_f4;all_index;RF;2;-1;auc;0.8665933886989089
bpic2011_f4;all_index;RF;3;-1;auc;0.8522776761606131
bpic2011_f4;all_index;RF;4;-1;auc;0.8404766219644798
bpic2011_f4;all_index;RF;5;-1;auc;0.8227004380118073
bpic2011_f4;all_index;RF;6;-1;auc;0.8010426156493572
bpic2011_f4;all_index;RF;7;-1;auc;0.7880352262374735
bpic2011_f4;all_index;RF;8;-1;auc;0.7841975054118132
bpic2011_f4;all_index;RF;9;-1;auc;0.7873930522626533
bpic2011_f4;all_index;RF;10;-1;auc;0.781568910421606
bpic2011_f4;all_index;RF;11;-1;auc;0.7748569005723976
bpic2011_f4;all_index;RF;12;-1;auc;0.7749629001483994
bpic2011_f4;all_index;RF;13;-1;auc;0.7675762439807383
bpic2011_f4;all_index;RF;14;-1;auc;0.7578269881095232
bpic2011_f4;all_index;RF;15;-1;auc;0.7552634449656377
bpic2011_f4;all_index;RF;16;-1;auc;0.74555470710156
bpic2011_f4;all_index;RF;17;-1;auc;0.7452819897458274
bpic2011_f4;all_index;RF;18;-1;auc;0.7513239187996469
bpic2011_f4;all_index;RF;19;-1;auc;0.7461007130124778
bpic2011_f4;all_index;RF;20;-1;auc;0.7435940285204992
bpic2011_f4;all_index;RF;21;-1;auc;0.7469919786096256
bpic2011_f4;all_index;RF;22;-1;auc;0.740492799279928
bpic2011_f4;all_index;RF;23;-1;auc;0.7403240324032403
bpic2011_f4;all_index;RF;24;-1;auc;0.7376136363636364
bpic2011_f4;all_index;RF;25;-1;auc;0.7371590909090908
bpic2011_f4;all_index;RF;26;-1;auc;0.7372159090909092
bpic2011_f4;all_index;RF;27;-1;auc;0.7282196969696969
bpic2011_f4;all_index;RF;28;-1;auc;0.7239234449760765
bpic2011_f4;all_index;RF;29;-1;auc;0.7390928191818069
bpic2011_f4;all_index;RF;30;-1;auc;0.7332838956865654
bpic2011_f4;all_index;RF;31;-1;auc;0.7335380193362947
bpic2011_f4;all_index;RF;32;-1;auc;0.7515548945375878
bpic2011_f4;all_index;RF;33;-1;auc;0.7531521434575513
bpic2011_f4;all_index;RF;34;-1;auc;0.7612926652142337
bpic2011_f4;all_index;RF;35;-1;auc;0.7703435804701626
bpic2011_f4;all_index;RF;36;-1;auc;0.7797619047619048
bpic2011_f4;all_index;RF;37;-1;auc;0.7842261904761906
bpic2011_f4;all_index;RF;38;-1;auc;0.7916666666666666
bpic2011_f4;all_index;RF;39;-1;auc;0.7911490683229815
bpic2011_f4;all_index;RF;40;-1;auc;0.7914941338854382
bpic2011_f4;all_index;RF;-1;auc;0.7752561334074186
event columns:;2647;  case columns:;759;  control columns:;3064
parsimony event;0.8239516433698527;parsimony case;1.0;parsimony control;0.6778720626631853
FC event;0.42717928180483244;FC case;0.4027499666266186;FC control;0.36643972767320787
monotonicity;0.06883159767813932
shap event;5;shap case;5;shap control;0feature_event;0;feature_case;10;feature_control;0
