dataset;method;cls;nr_events;metric;score
bpic2015_4_f2;all_agg;RF;1;-1;auc;0.6834983498349835
bpic2015_4_f2;all_agg;RF;2;-1;auc;0.6859971711456859
bpic2015_4_f2;all_agg;RF;3;-1;auc;0.7146393210749646
bpic2015_4_f2;all_agg;RF;4;-1;auc;0.7065063649222065
bpic2015_4_f2;all_agg;RF;5;-1;auc;0.7086280056577086
bpic2015_4_f2;all_agg;RF;6;-1;auc;0.7125176803394625
bpic2015_4_f2;all_agg;RF;7;-1;auc;0.6962517680339463
bpic2015_4_f2;all_agg;RF;8;-1;auc;0.6934229137199435
bpic2015_4_f2;all_agg;RF;9;-1;auc;0.681046676096181
bpic2015_4_f2;all_agg;RF;10;-1;auc;0.6807142857142857
bpic2015_4_f2;all_agg;RF;11;-1;auc;0.6910714285714286
bpic2015_4_f2;all_agg;RF;12;-1;auc;0.6846428571428571
bpic2015_4_f2;all_agg;RF;13;-1;auc;0.7039285714285713
bpic2015_4_f2;all_agg;RF;14;-1;auc;0.7575187969924811
bpic2015_4_f2;all_agg;RF;15;-1;auc;0.9214285714285714
bpic2015_4_f2;all_agg;RF;16;-1;auc;0.9566869300911854
bpic2015_4_f2;all_agg;RF;17;-1;auc;0.9772036474164134
bpic2015_4_f2;all_agg;RF;18;-1;auc;0.9968944099378882
bpic2015_4_f2;all_agg;RF;19;-1;auc;0.999223602484472
bpic2015_4_f2;all_agg;RF;20;-1;auc;1.0
bpic2015_4_f2;all_agg;RF;21;-1;auc;1.0
bpic2015_4_f2;all_agg;RF;22;-1;auc;1.0
bpic2015_4_f2;all_agg;RF;23;-1;auc;1.0
bpic2015_4_f2;all_agg;RF;24;-1;auc;1.0
bpic2015_4_f2;all_agg;RF;25;-1;auc;1.0
bpic2015_4_f2;all_agg;RF;26;-1;auc;0.9990476190476191
bpic2015_4_f2;all_agg;RF;27;-1;auc;0.999047619047619
bpic2015_4_f2;all_agg;RF;28;-1;auc;0.9989743589743589
bpic2015_4_f2;all_agg;RF;29;-1;auc;0.9988584474885845
bpic2015_4_f2;all_agg;RF;30;-1;auc;0.9988425925925926
bpic2015_4_f2;all_agg;RF;31;-1;auc;0.9988262910798122
bpic2015_4_f2;all_agg;RF;32;-1;auc;1.0
bpic2015_4_f2;all_agg;RF;33;-1;auc;1.0
bpic2015_4_f2;all_agg;RF;34;-1;auc;0.9999999999999999
bpic2015_4_f2;all_agg;RF;35;-1;auc;1.0
bpic2015_4_f2;all_agg;RF;36;-1;auc;1.0
bpic2015_4_f2;all_agg;RF;37;-1;auc;1.0
bpic2015_4_f2;all_agg;RF;38;-1;auc;1.0
bpic2015_4_f2;all_agg;RF;39;-1;auc;1.0
bpic2015_4_f2;all_agg;RF;40;-1;auc;1.0
bpic2015_4_f2;all_agg;RF;-1;auc;0.9397544304747772
event columns:;67;  case columns:;23;  control columns:;261
parsimony event;0.9701492537313433;parsimony case;1.0;parsimony control;0.8390804597701149
FC event;0.053148614609571786;FC case;0.03904282115869018;FC control;0.9065491183879093
monotonicity;0.36855972896492306
shap event;1;shap case;3;shap control;6feature_event;3;feature_case;5;feature_control;2
