dataset;method;cls;nr_events;metric;score
production;all_index;RF;1;-1;auc;0.675
production;all_index;RF;2;-1;auc;0.6441798941798942
production;all_index;RF;3;-1;auc;0.6270903010033445
production;all_index;RF;4;-1;auc;0.6450000000000001
production;all_index;RF;5;-1;auc;0.6733333333333333
production;all_index;RF;6;-1;auc;0.7410714285714286
production;all_index;RF;7;-1;auc;0.7738095238095238
production;all_index;RF;8;-1;auc;0.7792207792207791
production;all_index;RF;9;-1;auc;0.8375
production;all_index;RF;10;-1;auc;0.9444444444444444
production;all_index;RF;11;-1;auc;1.0
production;all_index;RF;12;-1;auc;1.0
production;all_index;RF;13;-1;auc;1.0
production;all_index;RF;14;-1;auc;1.0
production;all_index;RF;15;-1;auc;1.0
production;all_index;RF;16;-1;auc;1.0
production;all_index;RF;17;-1;auc;nan
production;all_index;RF;-1;auc;0.717032967032967
event columns:;1135;  case columns:;35;  control columns:;441
parsimony event;0.6696035242290749;parsimony case;0.9714285714285714;parsimony control;0.6485260770975056
FC event;0.10139860139860139;FC case;0.3531468531468531;FC control;0.26223776223776224
monotonicity;0.12656800988924025
shap event;7;shap case;2;shap control;1feature_event;8;feature_case;2;feature_control;0
