dataset;method;cls;nr_events;metric;score
sepsis_cases_1;all_agg;RF;1;-1;auc;0.32613908872901676
sepsis_cases_1;all_agg;RF;2;-1;auc;0.3117505995203837
sepsis_cases_1;all_agg;RF;3;-1;auc;0.31954436450839324
sepsis_cases_1;all_agg;RF;4;-1;auc;0.3245403677058353
sepsis_cases_1;all_agg;RF;5;-1;auc;0.33573141486810554
sepsis_cases_1;all_agg;RF;6;-1;auc;0.35011990407673865
sepsis_cases_1;all_agg;RF;7;-1;auc;0.36510791366906475
sepsis_cases_1;all_agg;RF;8;-1;auc;0.37549960031974416
sepsis_cases_1;all_agg;RF;9;-1;auc;0.37683823529411764
sepsis_cases_1;all_agg;RF;10;-1;auc;0.37106135986733
sepsis_cases_1;all_agg;RF;11;-1;auc;0.41600000000000004
sepsis_cases_1;all_agg;RF;12;-1;auc;0.4236024844720497
sepsis_cases_1;all_agg;RF;13;-1;auc;0.38282828282828285
sepsis_cases_1;all_agg;RF;14;-1;auc;0.3429878048780488
sepsis_cases_1;all_agg;RF;15;-1;auc;0.3517857142857142
sepsis_cases_1;all_agg;RF;16;-1;auc;0.19907407407407407
sepsis_cases_1;all_agg;RF;17;-1;auc;0.1159090909090909
sepsis_cases_1;all_agg;RF;18;-1;auc;0.15972222222222224
sepsis_cases_1;all_agg;RF;19;-1;auc;0.11764705882352944
sepsis_cases_1;all_agg;RF;20;-1;auc;0.11666666666666664
sepsis_cases_1;all_agg;RF;21;-1;auc;0.11538461538461536
sepsis_cases_1;all_agg;RF;22;-1;auc;0.11363636363636365
sepsis_cases_1;all_agg;RF;23;-1;auc;0.05263157894736842
sepsis_cases_1;all_agg;RF;24;-1;auc;0.11764705882352944
sepsis_cases_1;all_agg;RF;25;-1;auc;0.13333333333333336
sepsis_cases_1;all_agg;RF;26;-1;auc;0.10714285714285715
sepsis_cases_1;all_agg;RF;27;-1;auc;0.10714285714285715
sepsis_cases_1;all_agg;RF;28;-1;auc;0.11538461538461536
sepsis_cases_1;all_agg;RF;29;-1;auc;0.13636363636363635
sepsis_cases_1;all_agg;RF;-1;auc;0.32055742474616467
event columns:;79;  case columns:;183;  control columns:;15
parsimony event;0.9620253164556962;parsimony case;0.9890710382513661;parsimony control;0.9333333333333333
FC event;0.09346169273967107;FC case;0.029683112715603692;FC control;0.009225832330525471
monotonicity;-0.15724373933832803
shap event;5;shap case;5;shap control;0feature_event;1;feature_case;9;feature_control;0
