dataset;method;cls;nr_events;metric;score
sepsis_cases_1;all_index;RF;1;-1;auc;0.36850519584332536
sepsis_cases_1;all_index;RF;2;-1;auc;0.36011191047162266
sepsis_cases_1;all_index;RF;3;-1;auc;0.3521183053557154
sepsis_cases_1;all_index;RF;4;-1;auc;0.3533173461231015
sepsis_cases_1;all_index;RF;5;-1;auc;0.39228617106314945
sepsis_cases_1;all_index;RF;6;-1;auc;0.4274580335731415
sepsis_cases_1;all_index;RF;7;-1;auc;0.4482414068745005
sepsis_cases_1;all_index;RF;8;-1;auc;0.4458433253397282
sepsis_cases_1;all_index;RF;9;-1;auc;0.4522058823529412
sepsis_cases_1;all_index;RF;10;-1;auc;0.46869817578772804
sepsis_cases_1;all_index;RF;11;-1;auc;0.486
sepsis_cases_1;all_index;RF;12;-1;auc;0.49161490683229814
sepsis_cases_1;all_index;RF;13;-1;auc;0.503030303030303
sepsis_cases_1;all_index;RF;14;-1;auc;0.5373475609756098
sepsis_cases_1;all_index;RF;15;-1;auc;0.5267857142857143
sepsis_cases_1;all_index;RF;16;-1;auc;0.44135802469135804
sepsis_cases_1;all_index;RF;17;-1;auc;0.4090909090909091
sepsis_cases_1;all_index;RF;18;-1;auc;0.33333333333333337
sepsis_cases_1;all_index;RF;19;-1;auc;0.30147058823529416
sepsis_cases_1;all_index;RF;20;-1;auc;0.25
sepsis_cases_1;all_index;RF;21;-1;auc;0.2692307692307692
sepsis_cases_1;all_index;RF;22;-1;auc;0.25
sepsis_cases_1;all_index;RF;23;-1;auc;0.2894736842105263
sepsis_cases_1;all_index;RF;24;-1;auc;0.29411764705882354
sepsis_cases_1;all_index;RF;25;-1;auc;0.26666666666666666
sepsis_cases_1;all_index;RF;26;-1;auc;0.26785714285714285
sepsis_cases_1;all_index;RF;27;-1;auc;0.26785714285714285
sepsis_cases_1;all_index;RF;28;-1;auc;0.28846153846153844
sepsis_cases_1;all_index;RF;29;-1;auc;0.36363636363636365
sepsis_cases_1;all_index;RF;-1;auc;0.41341947847921323
event columns:;610;  case columns:;183;  control columns:;233
parsimony event;0.7672131147540984;parsimony case;1.0;parsimony control;0.6738197424892703
FC event;0.07139991977537104;FC case;0.07781789009225833;FC control;0.020056157240272765
monotonicity;0.16853855156489025
shap event;7;shap case;3;shap control;0feature_event;4;feature_case;6;feature_control;0
