dataset;method;cls;nr_events;metric;score
bpic2011_f4;all_index;XGB;1;-1;auc;0.8727669549753455
bpic2011_f4;all_index;XGB;2;-1;auc;0.8644357596482657
bpic2011_f4;all_index;XGB;3;-1;auc;0.8538454838428708
bpic2011_f4;all_index;XGB;4;-1;auc;0.8514860456687207
bpic2011_f4;all_index;XGB;5;-1;auc;0.8419348695486574
bpic2011_f4;all_index;XGB;6;-1;auc;0.8333839457434963
bpic2011_f4;all_index;XGB;7;-1;auc;0.8329790464621923
bpic2011_f4;all_index;XGB;8;-1;auc;0.82692505927224
bpic2011_f4;all_index;XGB;9;-1;auc;0.8271312235851974
bpic2011_f4;all_index;XGB;10;-1;auc;0.8250695804556232
bpic2011_f4;all_index;XGB;11;-1;auc;0.8224507101971592
bpic2011_f4;all_index;XGB;12;-1;auc;0.8283866864532542
bpic2011_f4;all_index;XGB;13;-1;auc;0.828892455858748
bpic2011_f4;all_index;XGB;14;-1;auc;0.826333587869532
bpic2011_f4;all_index;XGB;15;-1;auc;0.82589724010036
bpic2011_f4;all_index;XGB;16;-1;auc;0.826442674811825
bpic2011_f4;all_index;XGB;17;-1;auc;0.8254608923311879
bpic2011_f4;all_index;XGB;18;-1;auc;0.8251323918799647
bpic2011_f4;all_index;XGB;19;-1;auc;0.82397504456328
bpic2011_f4;all_index;XGB;20;-1;auc;0.82397504456328
bpic2011_f4;all_index;XGB;21;-1;auc;0.82397504456328
bpic2011_f4;all_index;XGB;22;-1;auc;0.8222322232223223
bpic2011_f4;all_index;XGB;23;-1;auc;0.8222322232223223
bpic2011_f4;all_index;XGB;24;-1;auc;0.8207954545454546
bpic2011_f4;all_index;XGB;25;-1;auc;0.8211363636363637
bpic2011_f4;all_index;XGB;26;-1;auc;0.8211363636363637
bpic2011_f4;all_index;XGB;27;-1;auc;0.8277107007575758
bpic2011_f4;all_index;XGB;28;-1;auc;0.827811004784689
bpic2011_f4;all_index;XGB;29;-1;auc;0.8356816215548141
bpic2011_f4;all_index;XGB;30;-1;auc;0.8356816215548141
bpic2011_f4;all_index;XGB;31;-1;auc;0.8376665795662399
bpic2011_f4;all_index;XGB;32;-1;auc;0.8438345051379124
bpic2011_f4;all_index;XGB;33;-1;auc;0.8393107312972822
bpic2011_f4;all_index;XGB;34;-1;auc;0.8460421205519244
bpic2011_f4;all_index;XGB;35;-1;auc;0.8559373116335142
bpic2011_f4;all_index;XGB;36;-1;auc;0.8546365914786967
bpic2011_f4;all_index;XGB;37;-1;auc;0.8584656084656085
bpic2011_f4;all_index;XGB;38;-1;auc;0.8593226022803488
bpic2011_f4;all_index;XGB;39;-1;auc;0.8566252587991718
bpic2011_f4;all_index;XGB;40;-1;auc;0.8566252587991718
bpic2011_f4;all_index;XGB;-1;auc;0.8361633484085805
event columns:;2647;  case columns:;759;  control columns:;3064
parsimony event;0.07140158670192671;parsimony case;0.19499341238471674;parsimony control;0.018276762402088774
FC event;0.44052863436123346;FC case;0.15845681484448004;FC control;0.08436790815645441
monotonicity;0.28140915352494666
shap event;3;shap case;7;shap control;0feature_event;2;feature_case;8;feature_control;0
