dataset;method;cls;nr_events;metric;score
bpic2015_5_f2;all_agg;XGB;1;-1;auc;0.6618881118881118
bpic2015_5_f2;all_agg;XGB;2;-1;auc;0.6491841491841492
bpic2015_5_f2;all_agg;XGB;3;-1;auc;0.6476689976689977
bpic2015_5_f2;all_agg;XGB;4;-1;auc;0.6541958041958043
bpic2015_5_f2;all_agg;XGB;5;-1;auc;0.6623543123543124
bpic2015_5_f2;all_agg;XGB;6;-1;auc;0.6679487179487179
bpic2015_5_f2;all_agg;XGB;7;-1;auc;0.6693473193473192
bpic2015_5_f2;all_agg;XGB;8;-1;auc;0.66993006993007
bpic2015_5_f2;all_agg;XGB;9;-1;auc;0.67995337995338
bpic2015_5_f2;all_agg;XGB;10;-1;auc;0.6801173020527859
bpic2015_5_f2;all_agg;XGB;11;-1;auc;0.6788665879574969
bpic2015_5_f2;all_agg;XGB;12;-1;auc;0.6923351158645277
bpic2015_5_f2;all_agg;XGB;13;-1;auc;0.7277543648404575
bpic2015_5_f2;all_agg;XGB;14;-1;auc;0.7919325707405178
bpic2015_5_f2;all_agg;XGB;15;-1;auc;0.8611793611793612
bpic2015_5_f2;all_agg;XGB;16;-1;auc;0.912039312039312
bpic2015_5_f2;all_agg;XGB;17;-1;auc;0.959678416821274
bpic2015_5_f2;all_agg;XGB;18;-1;auc;0.9790784557907846
bpic2015_5_f2;all_agg;XGB;19;-1;auc;0.990909090909091
bpic2015_5_f2;all_agg;XGB;20;-1;auc;0.9953605015673982
bpic2015_5_f2;all_agg;XGB;21;-1;auc;0.9976952624839949
bpic2015_5_f2;all_agg;XGB;22;-1;auc;1.0
bpic2015_5_f2;all_agg;XGB;23;-1;auc;1.0
bpic2015_5_f2;all_agg;XGB;24;-1;auc;1.0
bpic2015_5_f2;all_agg;XGB;25;-1;auc;1.0
bpic2015_5_f2;all_agg;XGB;26;-1;auc;1.0
bpic2015_5_f2;all_agg;XGB;27;-1;auc;1.0
bpic2015_5_f2;all_agg;XGB;28;-1;auc;1.0
bpic2015_5_f2;all_agg;XGB;29;-1;auc;1.0
bpic2015_5_f2;all_agg;XGB;30;-1;auc;1.0
bpic2015_5_f2;all_agg;XGB;31;-1;auc;1.0
bpic2015_5_f2;all_agg;XGB;32;-1;auc;1.0
bpic2015_5_f2;all_agg;XGB;33;-1;auc;1.0
bpic2015_5_f2;all_agg;XGB;34;-1;auc;1.0
bpic2015_5_f2;all_agg;XGB;35;-1;auc;1.0
bpic2015_5_f2;all_agg;XGB;36;-1;auc;1.0
bpic2015_5_f2;all_agg;XGB;37;-1;auc;1.0
bpic2015_5_f2;all_agg;XGB;38;-1;auc;1.0
bpic2015_5_f2;all_agg;XGB;39;-1;auc;1.0
bpic2015_5_f2;all_agg;XGB;40;-1;auc;1.0
bpic2015_5_f2;all_agg;XGB;-1;auc;0.9411635312023967
event columns:;78;  case columns:;25;  control columns:;246
parsimony event;0.8846153846153846;parsimony case;0.76;parsimony control;0.23170731707317074
FC event;0.24571285517586683;FC case;0.08499186381274253;FC control;0.883339591938916
monotonicity;0.8811179776844166
shap event;4;shap case;2;shap control;4feature_event;1;feature_case;5;feature_control;4
