dataset;method;cls;nr_events;metric;score
bpic2015_5_f2;all_index;XGB;1;-1;auc;0.6941724941724942
bpic2015_5_f2;all_index;XGB;2;-1;auc;0.6921911421911422
bpic2015_5_f2;all_index;XGB;3;-1;auc;0.7048951048951049
bpic2015_5_f2;all_index;XGB;4;-1;auc;0.6979020979020979
bpic2015_5_f2;all_index;XGB;5;-1;auc;0.7074592074592075
bpic2015_5_f2;all_index;XGB;6;-1;auc;0.7040792540792541
bpic2015_5_f2;all_index;XGB;7;-1;auc;0.7039627039627039
bpic2015_5_f2;all_index;XGB;8;-1;auc;0.7030303030303031
bpic2015_5_f2;all_index;XGB;9;-1;auc;0.7052447552447554
bpic2015_5_f2;all_index;XGB;10;-1;auc;0.7065102639296188
bpic2015_5_f2;all_index;XGB;11;-1;auc;0.7034238488783943
bpic2015_5_f2;all_index;XGB;12;-1;auc;0.7081402257872846
bpic2015_5_f2;all_index;XGB;13;-1;auc;0.712221553281156
bpic2015_5_f2;all_index;XGB;14;-1;auc;0.7154726068633354
bpic2015_5_f2;all_index;XGB;15;-1;auc;0.7687960687960688
bpic2015_5_f2;all_index;XGB;16;-1;auc;0.7701474201474202
bpic2015_5_f2;all_index;XGB;17;-1;auc;0.7854050711193568
bpic2015_5_f2;all_index;XGB;18;-1;auc;0.8305105853051058
bpic2015_5_f2;all_index;XGB;19;-1;auc;0.8729763387297633
bpic2015_5_f2;all_index;XGB;20;-1;auc;0.8832601880877743
bpic2015_5_f2;all_index;XGB;21;-1;auc;0.8941101152368758
bpic2015_5_f2;all_index;XGB;22;-1;auc;0.9019987105093488
bpic2015_5_f2;all_index;XGB;23;-1;auc;0.9029013539651838
bpic2015_5_f2;all_index;XGB;24;-1;auc;0.9081882656350742
bpic2015_5_f2;all_index;XGB;25;-1;auc;0.9108791649939783
bpic2015_5_f2;all_index;XGB;26;-1;auc;0.9144921718185468
bpic2015_5_f2;all_index;XGB;27;-1;auc;0.9157681940700808
bpic2015_5_f2;all_index;XGB;28;-1;auc;0.9163072776280323
bpic2015_5_f2;all_index;XGB;29;-1;auc;0.9172506738544475
bpic2015_5_f2;all_index;XGB;30;-1;auc;0.9179245283018868
bpic2015_5_f2;all_index;XGB;31;-1;auc;0.9179245283018868
bpic2015_5_f2;all_index;XGB;32;-1;auc;0.9177412786751731
bpic2015_5_f2;all_index;XGB;33;-1;auc;0.9177412786751731
bpic2015_5_f2;all_index;XGB;34;-1;auc;0.9177412786751731
bpic2015_5_f2;all_index;XGB;35;-1;auc;0.9246670366259712
bpic2015_5_f2;all_index;XGB;36;-1;auc;0.9246670366259712
bpic2015_5_f2;all_index;XGB;37;-1;auc;0.9269042627533193
bpic2015_5_f2;all_index;XGB;38;-1;auc;0.9269042627533193
bpic2015_5_f2;all_index;XGB;39;-1;auc;0.9269042627533193
bpic2015_5_f2;all_index;XGB;40;-1;auc;0.93210405946255
bpic2015_5_f2;all_index;XGB;-1;auc;0.8318486444613631
event columns:;1419;  case columns:;25;  control columns:;2537
parsimony event;0.2741367159971811;parsimony case;0.76;parsimony control;0.059913283405597165
FC event;0.5255976968331456;FC case;0.212291901364376;FC control;0.23407184879208912
monotonicity;0.764692198046259
shap event;5;shap case;4;shap control;1feature_event;2;feature_case;2;feature_control;6
