dataset;method;cls;nr_events;metric;score
production;all_index;XGB;1;-1;auc;0.6404761904761904
production;all_index;XGB;2;-1;auc;0.6481481481481481
production;all_index;XGB;3;-1;auc;0.6187290969899665
production;all_index;XGB;4;-1;auc;0.62
production;all_index;XGB;5;-1;auc;0.66
production;all_index;XGB;6;-1;auc;0.6696428571428572
production;all_index;XGB;7;-1;auc;0.6547619047619048
production;all_index;XGB;8;-1;auc;0.6233766233766234
production;all_index;XGB;9;-1;auc;0.725
production;all_index;XGB;10;-1;auc;0.9444444444444444
production;all_index;XGB;11;-1;auc;1.0
production;all_index;XGB;12;-1;auc;1.0
production;all_index;XGB;13;-1;auc;1.0
production;all_index;XGB;14;-1;auc;1.0
production;all_index;XGB;15;-1;auc;1.0
production;all_index;XGB;16;-1;auc;1.0
production;all_index;XGB;17;-1;auc;nan
production;all_index;XGB;-1;auc;0.6973795435333897
event columns:;1135;  case columns:;35;  control columns:;441
parsimony event;0.08193832599118943;parsimony case;0.2857142857142857;parsimony control;0.047619047619047616
FC event;0.3321678321678322;FC case;0.36363636363636365;FC control;0.2097902097902098
monotonicity;0.26315389741992834
shap event;7;shap case;2;shap control;1feature_event;6;feature_case;3;feature_control;1
