dataset;method;cls;nr_events;metric;score
sepsis_cases_1;all_agg;XGB;1;-1;auc;0.35811350919264584
sepsis_cases_1;all_agg;XGB;2;-1;auc;0.3665067945643485
sepsis_cases_1;all_agg;XGB;3;-1;auc;0.3609112709832134
sepsis_cases_1;all_agg;XGB;4;-1;auc;0.35691446842525976
sepsis_cases_1;all_agg;XGB;5;-1;auc;0.3840927258193445
sepsis_cases_1;all_agg;XGB;6;-1;auc;0.39888089528377296
sepsis_cases_1;all_agg;XGB;7;-1;auc;0.40327737809752195
sepsis_cases_1;all_agg;XGB;8;-1;auc;0.38968824940047964
sepsis_cases_1;all_agg;XGB;9;-1;auc;0.3929738562091504
sepsis_cases_1;all_agg;XGB;10;-1;auc;0.4013266998341626
sepsis_cases_1;all_agg;XGB;11;-1;auc;0.4115
sepsis_cases_1;all_agg;XGB;12;-1;auc;0.4322981366459628
sepsis_cases_1;all_agg;XGB;13;-1;auc;0.41818181818181815
sepsis_cases_1;all_agg;XGB;14;-1;auc;0.35213414634146345
sepsis_cases_1;all_agg;XGB;15;-1;auc;0.3625
sepsis_cases_1;all_agg;XGB;16;-1;auc;0.2469135802469136
sepsis_cases_1;all_agg;XGB;17;-1;auc;0.22272727272727275
sepsis_cases_1;all_agg;XGB;18;-1;auc;0.3055555555555556
sepsis_cases_1;all_agg;XGB;19;-1;auc;0.27941176470588236
sepsis_cases_1;all_agg;XGB;20;-1;auc;0.25
sepsis_cases_1;all_agg;XGB;21;-1;auc;0.23076923076923078
sepsis_cases_1;all_agg;XGB;22;-1;auc;0.25
sepsis_cases_1;all_agg;XGB;23;-1;auc;0.2368421052631579
sepsis_cases_1;all_agg;XGB;24;-1;auc;0.23529411764705882
sepsis_cases_1;all_agg;XGB;25;-1;auc;0.23333333333333334
sepsis_cases_1;all_agg;XGB;26;-1;auc;0.2142857142857143
sepsis_cases_1;all_agg;XGB;27;-1;auc;0.2142857142857143
sepsis_cases_1;all_agg;XGB;28;-1;auc;0.1923076923076923
sepsis_cases_1;all_agg;XGB;29;-1;auc;0.2272727272727273
sepsis_cases_1;all_agg;XGB;-1;auc;0.3726140141689446
event columns:;79;  case columns:;183;  control columns:;15
parsimony event;0.8481012658227848;parsimony case;0.36065573770491804;parsimony control;0.6666666666666666
FC event;0.08263136782992378;FC case;0.11592458884877657;FC control;0.0188527878058564
monotonicity;0.5977315790326363
shap event;7;shap case;3;shap control;0feature_event;5;feature_case;5;feature_control;0
