dataset;method;cls;nr_events;metric;score
sepsis_cases_1;all_index;XGB;1;-1;auc;0.38409272581934456
sepsis_cases_1;all_index;XGB;2;-1;auc;0.37210231814548356
sepsis_cases_1;all_index;XGB;3;-1;auc;0.3509192645883294
sepsis_cases_1;all_index;XGB;4;-1;auc;0.35411670663469225
sepsis_cases_1;all_index;XGB;5;-1;auc;0.372501998401279
sepsis_cases_1;all_index;XGB;6;-1;auc;0.40087929656274984
sepsis_cases_1;all_index;XGB;7;-1;auc;0.41127098321342925
sepsis_cases_1;all_index;XGB;8;-1;auc;0.4116706634692246
sepsis_cases_1;all_index;XGB;9;-1;auc;0.40808823529411764
sepsis_cases_1;all_index;XGB;10;-1;auc;0.4058872305140962
sepsis_cases_1;all_index;XGB;11;-1;auc;0.41800000000000004
sepsis_cases_1;all_index;XGB;12;-1;auc;0.4347826086956522
sepsis_cases_1;all_index;XGB;13;-1;auc;0.33131313131313134
sepsis_cases_1;all_index;XGB;14;-1;auc;0.3307926829268293
sepsis_cases_1;all_index;XGB;15;-1;auc;0.33214285714285713
sepsis_cases_1;all_index;XGB;16;-1;auc;0.27469135802469136
sepsis_cases_1;all_index;XGB;17;-1;auc;0.31818181818181823
sepsis_cases_1;all_index;XGB;18;-1;auc;0.375
sepsis_cases_1;all_index;XGB;19;-1;auc;0.38235294117647056
sepsis_cases_1;all_index;XGB;20;-1;auc;0.3666666666666667
sepsis_cases_1;all_index;XGB;21;-1;auc;0.3846153846153846
sepsis_cases_1;all_index;XGB;22;-1;auc;0.38636363636363635
sepsis_cases_1;all_index;XGB;23;-1;auc;0.42105263157894735
sepsis_cases_1;all_index;XGB;24;-1;auc;0.38235294117647056
sepsis_cases_1;all_index;XGB;25;-1;auc;0.4
sepsis_cases_1;all_index;XGB;26;-1;auc;0.39285714285714285
sepsis_cases_1;all_index;XGB;27;-1;auc;0.39285714285714285
sepsis_cases_1;all_index;XGB;28;-1;auc;0.423076923076923
sepsis_cases_1;all_index;XGB;29;-1;auc;0.4090909090909091
sepsis_cases_1;all_index;XGB;-1;auc;0.391579010299554
event columns:;610;  case columns:;183;  control columns:;233
parsimony event;0.1918032786885246;parsimony case;0.453551912568306;parsimony control;0.07725321888412018
FC event;0.2125952667468913;FC case;0.08864821500200562;FC control;0.04091456077015644
monotonicity;0.24872622352888063
shap event;7;shap case;3;shap control;0feature_event;5;feature_case;5;feature_control;0
