dataset;method;cls;nr_events;metric;score
traffic_fines_1;all_index;XGB;1;-1;auc;0.493450060439176
traffic_fines_1;all_index;XGB;2;-1;auc;0.8549401545627815
traffic_fines_1;all_index;XGB;3;-1;auc;0.5844595876488239
traffic_fines_1;all_index;XGB;4;-1;auc;0.6646963449305914
traffic_fines_1;all_index;XGB;5;-1;auc;0.7430545630177967
traffic_fines_1;all_index;XGB;6;-1;auc;0.8520717592592593
traffic_fines_1;all_index;XGB;7;-1;auc;0.6031645569620253
traffic_fines_1;all_index;XGB;8;-1;auc;0.5553539019963702
traffic_fines_1;all_index;XGB;9;-1;auc;0.446236559139785
traffic_fines_1;all_index;XGB;10;-1;auc;0.2857142857142857
traffic_fines_1;all_index;XGB;-1;auc;0.7806905682418814
monotonicity;0.12325175150323199
shap event;8;shap case;1;shap control;1feature_event;6;feature_case;0;feature_control;4
