,classifier,cls_encoding,AUC,#event columns,#case columns,#control columns,pars. event,pars. case,pars. control,perc_pars_event,perc_pars_case,perc_pars_control,FC event,FC_case,FC control,monotonicity,LOD
77,GLRM,index,0.5360883727039748,1700,34,3083,1.0,0.0,2.0,0.058235294117647,0.0,0.0648718780408692,0.4382033661985858,82.98974205756399,97.31102479832686,1.0,1
79,XGB,index,0.8679933723178215,1700,34,3083,376.0,21.0,146.0,22.11764705882353,61.76470588235294,4.735647096983458,27.776117916542177,6.742356339010058,46.34996514291405,0.7832505351187717,1
81,RF,index,0.8953603778765562,1700,34,3083,1317.0,33.0,1867.0,77.47058823529412,97.05882352941175,60.55789815115148,12.75769345682701,85.08116721442087,85.08116721442087,0.1716157544142268,1
73,LR,index,0.8982498926368778,1700,34,3083,823.0,33.0,1743.9999999999998,48.41176470588236,97.05882352941175,56.568277651638006,18.802908076884773,6.104969624539389,5.676725425754407,1.0,1
75,LLM,index,0.9052825154133476,1700,34,3083,439.75,11.5,804.5,25.86764705882353,33.8235294117647,26.09471294193967,12.887162633203864,0.0,98.04800318693356,1.0,1
76,GLRM,agg,0.9378324848021072,87,34,314,0.0,0.0,8.0,0.0,0.0,2.5477707006369426,0.0,0.0,89.52295588088836,1.0,1
82,LSTM,embeddings,0.938762479466738,11,18,1,11.0,1.0,1.0,100.0,5.555555555555555,100.0,3.738541132417454,1.3832801366350145,3.723602902000229,0.6486062941144165,1
83,CNN,embeddings,0.9455536783344654,11,18,1,11.0,1.0,1.0,100.0,5.555555555555555,100.0,2.672449421641512,1.0392028960249369,2.898514641955514,-0.5211818576580031,1
78,XGB,agg,0.9492602300974377,87,34,314,62.0,21.0,74.0,71.26436781609195,61.76470588235294,23.56687898089172,16.88078876605916,3.0773827308037047,87.720346579026,0.874730255269137,1
74,LLM,agg,0.9564378425289526,87,34,314,86.0,33.5,307.5,98.85057471264368,98.52941176470588,97.92993630573248,1.254855094114132,0.0,92.73976695548252,1.0,1
72,LR,agg,0.9584984546579984,87,34,314,63.0,33.0,160.0,72.41379310344827,97.05882352941175,50.955414012738856,0.0597550044816253,0.0099591674136042,1.3046509311821533,1.0,1
80,RF,agg,0.9585520321346204,87,34,314,84.0,33.0,275.0,96.55172413793105,97.05882352941175,87.57961783439491,14.022507718354746,5.37795040334628,81.89423364206753,0.4344367999897291,1
23,CNN,embeddings,0.7716896138073022,13,6,1,13.0,6.0,1.0,100.0,100.0,100.0,2.8568520340650765,3.949377396260985,3.949377396260985,0.5029045328072458,1
22,LSTM,embeddings,0.8668329565966086,13,6,1,13.0,6.0,1.0,100.0,100.0,100.0,1.5118922403555797,1.5118922403555797,1.5118922403555797,0.6386726894277323,1
17,GLRM,index,0.8834672369504012,2660,760,3139,2.0,4.0,2.0,0.075187969924812,0.5263157894736842,0.0637145587766804,24.758117958913186,68.04506295559973,71.01391650099403,1.0,1
19,XGB,index,0.902794586969258,2660,760,3139,308.0,79.0,110.0,11.578947368421051,10.394736842105264,3.504300732717426,21.57720344599072,19.45659377070908,14.10205434062293,0.6750605719689119,1
21,RF,index,0.938923584509598,2660,760,3139,2061.0,760.0,1974.0,77.4812030075188,100.0,62.88626951258362,15.904572564612328,12.339297548045062,46.66666666666666,0.0580179847744784,1
15,LLM,index,0.9415619522394292,2660,760,3139,7.5,28.75,9.0,0.2819548872180451,3.782894736842105,0.2867155144950621,40.78197481776011,77.7998674618953,19.642147117296226,1.0,1
13,LR,index,0.9641142704155332,2660,760,3139,39.0,148.0,56.99999999999999,1.466165413533835,19.473684210526315,1.815864925135393,3.6713055003313455,0.6626905235255135,0.6494367130550034,1.0,1
14,LLM,agg,0.972269157833317,146,760,215,126.5,542.5,192.5,86.64383561643835,71.38157894736842,89.53488372093024,44.86414844267727,0.3578528827037773,9.065606361829026,1.0,1
16,GLRM,agg,0.9753305760988418,146,760,215,2.0,5.0,1.0,1.36986301369863,0.6578947368421053,0.4651162790697674,31.888667992047715,46.5871438038436,40.742213386348574,1.0,1
18,XGB,agg,0.9798511944293564,146,760,215,79.00000000000001,65.0,73.0,54.10958904109589,8.552631578947368,33.95348837209303,41.43141153081511,13.929754804506295,23.605036447978797,0.7450277469315664,1
20,RF,agg,0.9849383261622902,146,760,215,134.0,760.0,207.0,91.78082191780824,100.0,96.27906976744184,27.541418157720344,28.11133200795229,25.32803180914513,0.0465452947846762,1
12,LR,agg,0.9881112237104576,146,760,215,7.0,118.0,9.0,4.794520547945205,15.526315789473689,4.186046511627907,3.2206759443339963,0.3843605036447978,0.5434062292909212,1.0,1
